issn,titulo,url
2238-3999,REVISTA ASPAS,https://www.revistas.usp.br/aspas/oai/
0104-6829,COMUNICACAO E EDUCACAO (USP),https://www.revistas.usp.br/comueduc/oai/
1980-4466,REVISTA CPC (USP),https://www.revistas.usp.br/cpc/oai/
1984-1124,REVISTA CRIAÇĂO & CRÍTICA,https://www.revistas.usp.br/criacaoecritica/oai/
2318-8863,DISCURSO,https://www.revistas.usp.br/discurso/oai/
0103-4014,ESTUDOS AVANÇADOS (USP. IMPRESSO),https://www.revistas.usp.br/eav/oai/
1806-9592,ESTUDOS AVANÇADOS (USP.IMPRESSO),https://www.revistas.usp.br/eav/oai/
1980-4016,ESTUDOS SEMIÓTICOS (USP),https://www.revistas.usp.br/esse/oai/
2525-3123,"GIS - GESTO, IMAGEM E SOM - REVISTA DE ANTROPOLOGIA",https://www.revistas.usp.br/gis/oai/
2238-8281,REVISTA DE ITALIANÍSTICA,https://www.revistas.usp.br/italianistica/oai/
2316-9826,LITERARTES,https://www.revistas.usp.br/literartes/oai/
1413-2982,LITERATURA E SOCIEDADE (USP),https://www.revistas.usp.br/ls/oai/
1982-2073,MATRIZES (USP. IMPRESSO),https://www.revistas.usp.br/matrizes/oai/
1982-8160,MATRIZES (ONLINE),https://www.revistas.usp.br/matrizes/oai/
