,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
3565,Recordar É Viver||divulgação,Gustavo Fioratti,,2010,Folha de São Paulo,Patadas e sopapos verbais marcam peça
3566,Recordar É Viver||divulgação,Daniel Schenker Wajnberg,,2010,Jornal do Brasil,"Frente a frente e Entre tapas, beijos e aplausos"
3567,Recordar É Viver||divulgação,Roberta Pennafort,,2010,O Estado de São Paulo,O nosso triste amor de ontem
3568,Recordar É Viver||divulgação,Fernanda Dutra,,2010,Jornal O Globo,Casal de Cinéfilos
3569,Recordar É Viver||divulgação,,,2010,Jornal O Globo,Os preferidos de Suely Franco e Sergio Britto
3570,Recordar É Viver||divulgação,,,2010,Jornal O Globo | Rioshow,Recordar é viver
3571,Recordar É Viver||divulgação,,,2010,Jornal O Globo,Recordar é viver
3572,Recordar É Viver||divulgação,,,2010,Revista Quem Acontece,Quem pensa teatro
3573,Recordar É Viver||divulgação,,,2010,Revista SESC Rio,SESC Terezópolis
3574,Recordar É Viver||divulgação,,,2010,Veja Rio,Teatro
3575,Recordar É Viver,,"Sueli Franco, Sérgio Britto, José Roberto Jardim, Camilo Bevilacqua, Ana Jansen e Anna Cecília Junqueira.||Direção: Eduardo Tolentino de Araújo.",2011,,Recordar é viver
3576,Recordar É Viver,,"Sueli Franco, Sérgio Britto, José Roberto Jardim, Camilo Bevilacqua, Ana Jansen e Anna Cecília Junqueira.||Direção: Eduardo Tolentino de Araújo.",2011,,Recordar é viver
3577,Ribalta||datilografado | escrito,Sergio Britto,,1949,,Teatro do 12 e outros assuntos
3578,Prêmios||reportagem,,,2009,Caras,FHC: emoção na homenagem a D. Ruth
3579,Prêmios,,,,,Terceiro Prêmio APTR de Teatro
3580,Ribalta||datilografado | escrito,Sergio Britto,,1949,,Romeu e Julieta
3581,Ribalta||datilografado | escrito,Sergio Britto,,1949,,Próximas Estréias
3582,Ribalta||datilografado | escrito,Sergio Britto,,1949,,Pif Paf
3583,Ribalta||datilografado | escrito,Sergio Britto,,1949,,Para Além da Vida
3584,Prêmios,,"direção e roteiro Flavio Marinho, mestres de cerimônia Renata Sorrah e Marco Nanini, iluminação Adriana Ortiz, edição video Canal Teatro, Assessoria de impresnsa Eduardo Barata, mailing list Carla Barata, produção executiva Simone Recchia e Tiago Moreno, coordenação produção Ana Luisa Lima, Bianca de Felippes, Claudia Marques, Ecila Mutzenbecher, Eduardo Bakr, Nilson Roman, Norma Thiré e Tadeu Aguiar.",2007,,Prêmio APTR de Teatro
3585,Ribalta||datilografado,Sergio Britto,,1949,,O Seminário de arte dramática
3586,Ribalta||datilografado,Sergio Britto,,1949,,Notícias Daqui e Dali
3587,Ribalta||datilografado,Sergio Britto,,1949,,Le Fleuve Etincelant
3588,Ribalta||datilografado,Sergio Britto,,1949,,Lady Godiva
3589,Prêmios||reportagem,,,2008,Veja Rio,Os carioscas do ano
3590,Ribalta||datilografado,Sergio Britto,,1949,,Gran Ballet de Monte Carlo
3591,Prêmios,,Depoismentos e pesquisa de imagens Daniel Schenker e Leonel Fisher.,2008,,20 anos - Prêmio Shell de Teatro
3592,Sergio Britto e Suas Várias Facetas,,"Curador Colmar Diniz, acervo Sergio Britto, Planejamento Firjan Ana Flávia Pedrosa e Ronaldo Ribeiro e Gerência de Cultura e Arte do Sistema Firjan Fabiana Scherer.",2010,,Sergio Britto e suas várias facetas
3593,O Jardim das Cerejeiras||datilografado | digitado,Empresa Golden Metais,,1990,,Primeiro Prêmio Golden Metais
3594,Ribalta||datilografado,Sergio Britto,,1948,,Deslumbramento
3595,Ribalta||datilografado,Sergio Britto,,1948,,Coros e danças populares da Espanha
3596,Ribalta||datilografado,Sergio Britto,,1948,,Cartaz teatral para hoje
3597,Ribalta||datilografado | escrito,Sergio Britto,,1948,,Berenice
3598,Ribalta||datilografado | escrito,Sergio Britto,,1948,,Bar do Crepusculo
3599,Ribalta||escrito,Sergio Britto,,1948,,O Balão caiu no mar
3600,Ribalta||datilografado | escrito,Sergio Britto,,1948,,A Sombra dos Laranjais
3601,Ribalta||datilografado | escrito,Sergio Britto,,1948,,A Crítica do Ouvinte
3602,Ribalta||datilografado | escrito,Sergio Britto,,1948,,Ribalta
3603,Ribalta||datilografado,Sergio Britto,,1948,,Ribalta
3604,Críticas||critica,Sergio Britto,,2008,O Globo,Uma platéia alucinada de prazer
3605,Críticas||critica,,,2008,O Globo,A Bahia é a estrela do espetáculo
3606,Críticas||critica,Sergio Britto,,2008,O Globo,Deu empate entre Janete e Carla
3607,Críticas||critica,,,2008,O Globo,Levando muito a sério o folhetim
3608,Críticas||reportagem,,,,O Globo,Um crítico que volta à cena
3609,Críticas||critica,Sergio Britto,,1994,Jornal do Brasil,Decadência na Broadway
3610,De Getúlio a Getúlio,,"Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad||Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro. Direção : Sergio Britto .",2002,,De Getúlio a Getúlio
3611,De Getúlio a Getúlio||divulgação,,,2002,Zero Hora,Roteiro
3612,De Getúlio a Getúlio||divulgação,,,2002,Correio do Povo,Domingo no Teatro
3613,De Getúlio a Getúlio||divulgação,,,2002,Magazine O Sul,Teatro
3614,De Getúlio a Getúlio||divulgação,,,2002,Jornal Zero Hora,Eventos e Espetáculos
3615,De Getúlio a Getúlio,,"Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad||Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio
3616,De Getúlio a Getúlio||digitado,,"Elenco: Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas. Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio
3617,De Getúlio a Getúlio||digitado,,"Elenco: Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas. Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio
3618,De Getúlio a Getúlio,,"Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad||Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro. Direção : Sergio Britto",2002,,De Getúlio a Getúlio
3619,De Getúlio a Getúlio||divulgação,,,2002,O Globo,Musical para lembrar Getúlio
3620,De Getúlio a Getúlio||divulgação,,,2002,Revista Aplauso,Agenda Cultural
3621,De Getúlio a Getúlio||propaganda,,,2002,Jornal Zero Hora,De Getúlio a Getúlio
3622,De Getúlio a Getúlio||propaganda,,,2002,Jornal Zero Hora,De Getúlio a Getúlio
3623,De Getúlio a Getúlio||propaganda,,,2002,Jornal Zero Hora,De Getúlio a Getúlio
3624,De Getúlio a Getúlio||propaganda,,,2002,Jornal Zero Hora,De Getúlio a Getúlio
3625,De Getúlio a Getúlio||digitado,,": Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas. Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio
3626,De Getúlio a Getúlio,,"Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas.||Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio
3627,De Getúlio a Getúlio,,"Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas.||Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio
3628,De Getúlio a Getúlio,,"Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas.||Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio
3629,De Getúlio a Getúlio||divulgação,,,2002,Jornal Zero Hora,Programação cultural de 26 de abril a 05 de maio
3630,De Getúlio a Getúlio||divulgação,,,2002,Correio do Povo,A Semana - Várias atrações em música e teatro
3631,De Getúlio a Getúlio||divulgação,,,2002,Correio do Povo,Montagem revisa história do Brasil
3632,De Getúlio a Getúlio||divulgação,,,2002,Correio do Povo,A História de um mito
3633,De Getúlio a Getúlio||divulgação,,,2002,Revista E aí?,Teatro / Dança - O atroz encanto de ser ator
3634,De Getúlio a Getúlio||divulgação,,,2002,Jornal do Commercio,Musical conta saga de Getúlio
3635,De Getúlio a Getúlio||divulgação,,,2002,Magazine O Sul,De Getúlio a Getúlio - A História de um Mito
3636,De Getúlio a Getúlio||divulgação,,,2002,Jornal Zero Hora,25 anos de Brasil em ritmo de musical
3637,De Getúlio a Getúlio||digitado,,"Elenco: Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas. Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio - A História de um Mito
3638,De Getúlio a Getúlio||digitado,,"Elenco: Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas. Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getúlio - A História de um Mito
3639,De Getúlio a Getúlio||digitado,,"Elenco: Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas. Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.",2002,,De Getúlio a Getílio - A História de um Mito
3640,Professor||digitado | escrito,variados autores,,1991,,Textos cursos
3641,Teatro dos Doze||escrito,Sergio Britto,,,,Anotações Sergio Britto sobre o Teatro dos Doze
3642,Cafona Sim E Daí?||reportagem,Luiz Fernando Vianna,,1997,,Sergio Britto troca Brasil como tema do Delfim por cafonice e homossexualismo
3643,Cafona Sim E Daí?||divulgação,,,1998,,Musical vive alegria de assumir cafonice
3644,Jung e Eu||divulgação,,,2005,Veja Rio,O mundo de Jung em cena
3645,Cafona Sim E Daí?||divulgação,,,1997,,Musical passa em revista a alma cafona brasileira.
3646,Jung e Eu||divulgação,,,2005,Veja Rio,Jung e Eu
3647,Cafona Sim E Daí?||divulgação,,,1997,Tribuna Bis,Alma brasileira em versão de hilariante canastrice.
3648,Jung e Eu||reportagem,conforme legenda,,2005,conforme legenda,Jung e Eu
3649,Jung e Eu||divulgação,,,2005,TV Cultura,Imprensa
3650,Jung e Eu||divulgação,,,2005,Tribuna da Imprensa,Jung e Eu
3651,Cafona Sim E Daí?||divulgação,Rodrigo Faour,,1997,Tribuna Bis,No reino da cafonice.
3652,Jung e Eu||reportagem,Daniel Schenker Wajnberg,,2005,Tribuna da Imprensa,Encontro com Jung
3653,Cafona Sim E Daí?||critica,Barbara Heliodora,,1997,O Globo,Um mergulho bem-sucedido no mundo 'kitsch' brasileiro.
3654,Jung e Eu||divulgação,,,2005,Portal Terra,Jung e Eu
3655,Jung e Eu||divulgação,,,2005,Portal Terra,"' Jung e Eu ' sai de cartaz do CCBB , no Rio"
3656,Jung e Eu||divulgação,,,2005,Portal Terra,Sérgio Britto comemora 60 anos de carreira
3657,Cafona Sim E Daí?||divulgação,,,1997,O Globo,Passeio musical pelo lado cafona da alma brasileira.
3658,Jung e Eu||divulgação,,,2005,Symbolon,Jung e Eu
3659,Cafona Sim E Daí?||divulgação,Roberta Oliveira,,1999,O Globo,"Música, drama e humor nas reestréias."
3660,Jung e Eu||divulgação,,,2005,RJ TV,"Salve , Sérgio Britto !"
3661,Jung e Eu||divulgação,,,2005,Cultura | Rio Arte,Jung e Eu - A Aventura do Penssamento
3662,Jung e Eu||reportagem,,,2005,Revista Tam,Jung e Eu - A Aventura do Penssamento
3663,Cafona Sim E Daí?||divulgação,Luiz Fernando Vianna,,1997,O Globo,O retrato musical de um país sem medo dos sentimentos.
3664,Jung e Eu||divulgação,,,2005,Revista Quem,Calendário
3665,Cafona Sim E Daí?||divulgação,Sany Medeiros,,1998,O Fuminense,Cafonice entra em cena
3666,Jung e Eu||entrevista,Valmir Moratelli,,2005,Revista Quem,Inconsciente Coletivo
3667,Jung e Eu||divulgação,,,2005,Revista Museu,Jung e Eu
3668,Jung e Eu||entrevista,Mariana Kalil,,2005,Revista Isto é,Ping - Pong Sergio Britto
3669,Cafona Sim E Daí?||divulgação,Jotabê Medeiros,,1998,Estado de São Paulo,Sesi vai promover 3ª Mostra de Artes Cênicas.
3670,Jung e Eu||divulgação,Jeffeerson Del Rios,,2005,Revista Bravo,Jung e Eu
3671,Cafona Sim E Daí?||critica,Armindo Blanco,,1997,O Dia,O inventário do lixo.
3672,Jung e Eu||reportagem,César Garcia Lima,,2005,Revista Aplauso,Jung e Eu
3673,Teatro dos Sete||reportagem,,,2010,Revista Bravo,Revista Bravo Especial Teatro
3674,Jung e Eu||divulgação,,,2005,O Globo online,Estréia
3675,Cafona Sim E Daí?||divulgação,Cláudia Cecília,,1997,O Dia,O fino do brega.
3676,Jung e Eu||divulgação,,,2005,O Globo online,Sérgio Britto e Domingos Oliveira estréiam ' Jung e Eu ' para o público
3677,Jung e Eu||critica,Barbara Heliodora,,2005,O Globo,O espetáculo é a interpretação de Sergio Britto
3678,Jung e Eu||reportagem,Josy Fischberg,,2005,O Globo,Um divã para Jung
3679,Jung e Eu||reportagem,,,2005,O Globo,Ator pula o texto . Jung explica ?
3680,Jung e Eu||divulgação,,,2005,O Globo,Estréia
3681,Jung e Eu||reportagem,Roberta Oliveira,,2005,O Globo,Sergio Britto incorpora Jung
3682,Jung e Eu||coluna social,Ancelmo Gois,,2005,O Globo,Tela Grande
3683,Jung e Eu||divulgação,,,2007,O Globo,Oportunidades únicas no Espaço Sesc
3684,Jung e Eu||divulgação,,,2005,O Globo,Teatro O Globo indica
3685,Jung e Eu||digitado,Domingos de Oliveira,,2004,,Jung e e
3686,Jung e Eu||entrevista,Eduardo Fradkim,,2006,O Globo,Os Eleitos
3687,Jung e Eu||divulgação,,,2005,Globo .com,Dirce que disse
3688,Jung e Eu||divulgação,,,2005,O Fluminense online,Cultura
3689,Jung e Eu||divulgação,,,2006,Estado de São Paulo,Sesc SP Destaques da Programação
3690,Jung e Eu||reportagem,,,2005,O Dia,Aniversário em Cena
3691,Jung e Eu||divulgação,,,2005,O Dia,Estréias
3692,Jung e Eu||critica,Lionel Fischer,,2005,Tribuna da Imprensa,Emoção e Humor no CCBB
3693,Jung e Eu||divulgação,Leila Schuster,,2005,Leila Schuster,Jung e Eu
3694,O Poder do Hábito||digitado,SB Produções Artisticas,,1999,,O poder do hábito
3695,Tango,,"Elza Gomes, Sadi Cabral, Roberto Bonfim, Ari Coslov, Tereza Rachel, Sergio Britto e Renata Sorrah.||direção Amir Haddad, assistente de direção Maria Francisca, cenário e figurino Joel de Carvalho, coreografia Angel Vianna, direção produção Toti Fernandes, divulgação Ruth Mezeck e fotografia Alair Gomes.",1972,,Tango
3696,Tango,,"Elza Gomes, Sadi Cabral, Roberto Bonfim, Ari Coslov, Tereza rachel, Sergio Britto e Renata Sorrah||Direção Amir Haddad, assistente de direção Maria Francisca, cenário e figurino Joel de Carvalho, coreografia Angel Vianna, direção produção Toti Fernandes, divulgação Ruth Mezeck e fotografia Alair Gomes.",1972,,Programa Tango
3697,Longa Jornada De Um Dia Noite Adentro||divulgação,,,2003,Veja São Paulo,LOnga Jornada de Um Dia Noite Adentro
3698,Longa Jornada De Um Dia Noite Adentro||reportagem,,,2002,Veja Rio,O Bom e Velho Teatrão
3699,Longa Jornada De Um Dia Noite Adentro||reportagem,Angela Leite Lopes,,2003,Revista Bravo,A Passagem das Horas
3700,Longa Jornada De Um Dia Noite Adentro||critica,Mariangela Alves de Lima,,2003,Estado de São Paulo,A visão de O' Neill sobre o discurso amoroso ineficaz
3701,Longa Jornada De Um Dia Noite Adentro||reportagem,Rachel Almeida,,2002,Jornal do Brasil,Triste como a vida as vezes é
3702,Longa Jornada De Um Dia Noite Adentro||reportagem,Daniel Schenker Wajnberg,,2002,Tribuna da Imprensa,Tragédia da Existência
3703,Longa Jornada De Um Dia Noite Adentro||critica,,,2002,Jornal do Brasil,Sutil abordagem da alma
3704,Longa Jornada De Um Dia Noite Adentro||reportagem,Humberto Slowik,,2003,Gazeta do Povo,Gente como a Gente
3705,Longa Jornada De Um Dia Noite Adentro,,,2003,Gazeta do Povo,Em Meio às Águas de Março
3706,Meninos Eu Vivi||reportagem,Debora Ghivelder,,1998,Veja Rio,Sessão Nostalgia
3707,Meninos Eu Vivi||entrevista,Rodrigo Faour,,1998,Tribuna da Imprensa,Abrindo o baú de memórias
3708,Meninos Eu Vivi||entrevista,Anabela Paiva,,1998,Revista Época,Dizem que sou um velho assanhado
3709,Meninos Eu Vivi||reportagem,Eduardo Graça,,1998,,Retalhos de Memória no palco
3710,Meninos Eu Vivi||critica,Barbara Heliodora,,1998,O Globo,Depoimentos de um grande ator sem linha - mestra que forme um panorama .
3711,Meninos Eu Vivi||divulgação,,,1998,O Globo,Meninos Eu Vivi
3712,Yara Amaral||digitado,Eduardo Richie,,,,"Yara Amaral, a operária do teatro"
3713,Recordar É Viver,,"Sueli Franco, Sérgio Britto, José Roberto Jardim, Camilo Bevilacqua, Ana Jansen e Anna Cecília Junqueira||Direção: Eduardo Tolentino de Araújo.",2010,,Recordar é viver
3714,Quartett,,Sergio Britto e Tonia Carrero.||Direção: Gerald Thomas,1986,,Quartett
3715,Outono Inverno,,"Laura Cardoso, Denise Weinberg, Sergio Britto e Emilia Rey||Direçào: Eduardo Tolentino de Araújo.",2006,,Outono Inverno
3716,"Sábado, Domingo e Segunda",,"Sergio Britto, Paulo Goulart, Paulo Grancindo, Guilherme Karan, Yara Amaral, Renata Fronzi, Monica Torres, Pedro Veras, Ary Fontoura e Cristina Pereira. Mario Borges substitui Guilherme Karan||Direção: José Wilker. No Teatro dos 4. Cenários de Paulo Mamede e figurinos de Mimina Roveda.",1986,,"Programa Sábado, domingo e segunda"
3717,Santa Joana,,": Atila Iório, João das Neves, Maria Fernanda, Labanca, A. Fregolente, Nelson Vaz, Paulo Serrado, Jayme Costa, Napoleão Moniz Freire, Carlos Alberto, Sergio Britto, Sadi Cabral, Graça Mello, Maurício Sherman, Luiz Linhares, Nelson Xavier e Oduvaldo Vianna Filho.||Direção: Flávio Rangel. Cenários de Napoleão Muniz Freire.",1965,,Programa Santa Joana
3718,Corações A Ponto de Explodir||entrevista,Gilberto Scofield Jr.,,1997,Revista Suigeneris,Sérgio Britto: O monstro sagrado abre o verbo.
3719,Corações A Ponto de Explodir||entrevista,Luiz Fernando Vianna,,1996,O Globo,Sérgio Britto fará peça gay.
3720,Corações A Ponto de Explodir||entrevista,Roberta Oliveira,,1997,O Globo,Sérgio Britto abre baú de confissões em peça gay.
3721,Corações A Ponto de Explodir||critica,Daniel Schenker Wajnberg,,1997,Jornal do Commercio,A solidão elevada à máxima potência.
3722,Quartett,,"Sergio Britto e Tonia Carrero||Direçao e iluminação Gerald Thomaz, cenários e figurinos Daniela Thomaz, musica Jaques Morelenbaun, diretor de cena Domingos Varela, Assistente iluminação Wagner Pinto, Som Roberto Wilson, timpano Antonio Pinto, cenotecnico Humberto Silva e divulgação e promoção Marilena Cury e Moacir Deriquem.",1986,,Programa Quartett
3723,Meninos Eu Vivi||reportagem,Roberta Oliveira,,1998,O Globo,Autobiografia contada em cena aberta
3724,Meninos Eu Vivi||entrevista,Roberta Oliveira,,1998,O Globo,De Peito Aberto
3725,Meninos Eu Vivi||critica,,,1998,,Musical Relembra vida e carreira
3726,Meninos Eu Vivi||reportagem,Daniel Koslinski,,1998,Jornal do Brasil,Um Espectador privilegiado
3727,Meninos Eu Vivi||critica,Macksen Luiz,,1998,Jornal do Brasil,Biografia em que falta tratamento teatral
3728,Meninos Eu Vivi||divulgação,,,1998,,Em Foco
3729,Meninos Eu Vivi||reportagem,Sergio Britto,,1998,,De Médico a Monstro
3730,Meninos Eu Vivi||critica,Armindo Blanco,,1998,,A Estátua de Sal
3731,Meninos Eu Vivi||reportagem,Gustavo Autran,,1998,,A História vista do palco
3732,Mephisto||reportagem,Cláudio Uchôa,,1993,O Globo,O Meu Rio - Sérgio Britto
3733,O Teatro e eu||escrito,Sergio Britto,,,,O Teatro e eu
3734,Mephisto||reportagem,,,1993,O Globo,Tchekov fez Sérgio Britto atuar na peça
3735,Mephisto||critica,Barbara Heliodora,,1993,O Globo,Nazista Perdido no trópico
3736,Mephisto||entrevista,,,1993,O Dia,Três Perguntas para Sérgio Britto
3737,Mephisto||reportagem,Hugo Sukman,,1993,Jornal do Brasil,JB Programa
3738,Meu Querido Mentiroso||reportagem,Debora Ghivelder,,1998,Revista Veja,Três vezes comédia
3739,Meu Querido Mentiroso||divulgação,Hildegard Angel,,1988,Última Hora,Apenas o Palco
3740,Meu Querido Mentiroso||divulgação,Ida Flores Dias,,1989,Última Hora,Agitos da Semana
3741,Meu Querido Mentiroso||coluna social,Reynaldo Loy,,1988,Última Hora,Detalhes
3742,Meu Querido Mentiroso||coluna social,Hildegard Angel,,1988,Última Hora,Uh Revista
3743,Meu Querido Mentiroso||coluna social,Ana Lima,,1988,Última Hora,União Perfeita
3744,Meu Querido Mentiroso||critica,Ida Flores Dias,,1988,Última Hora,Uma Dupla de Respeito
3745,Meu Querido Mentiroso||reportagem,Soraya Kabarite,,1988,Última Hora,Um Reencontro cheio de amor
3746,Meu Querido Mentiroso||divulgação,,,1989,Última Hora,Teatro da Terceira Idade
3747,Corações A Ponto de Explodir||reportagem,Roberta Oliveira,,1997,Jornal do Brasil,Sagrados e Atualizados.
3748,Corações A Ponto de Explodir||divulgação,,,1997,Jornal do Brasil,Leitura de peça na Le Boy.
3749,Corações A Ponto de Explodir||divulgação,Flávia Dratovsky,,1997,Jornal do Brasil,"No palco, o amor a três."
3750,Corações A Ponto de Explodir||divulgação,Beth Néspoli,,1997,Estado de São Paulo,Britto volta à cena em espetáculo no Rio.
3751,Meu Querido Mentiroso||divulgação,Ana Lima,,1988,Última Hora,Tempo de Ensaio
3752,Meu Querido Mentiroso||divulgação,,,1988,Tribuna da Imprensa,Meu Querido Mentiroso
3753,Meu Querido Mentiroso||critica,Cecília Loyola,,1988,Tribuna da Imprensa,Nos Atalhos do tempo
3754,Meu Querido Mentiroso||reportagem,Pedro Tinoco,,1988,Tribuna da Imprensa,80 anos de palco
3755,Meu Querido Mentiroso||divulgação,,,1988,Tribuna da Imprensa,Em Cartaz
3756,Meu Querido Mentiroso||entrevista,Paloma Pietrobelli,,1998,Tribuna da Imprensa,Reciclando a amizade e a paixão
3757,Meu Querido Mentiroso||divulgação,,,1988,Sétimo Céu,Meu Querido Mentiroso
3758,Meu Querido Mentiroso||coluna social,,,1988,O Globo,Jogo Rápido
3759,Meu Querido Mentiroso||critica,Tânia Brandão,,1988,O Globo,O amor sujeito a chuvas e trovoadas
3760,Meu Querido Mentiroso||coluna social,Ibrahim Sued,,1988,O Globo,Coluna de Ibrahim Sued
3761,Meu Querido Mentiroso||entrevista,,,1988,O Globo,"Sérgio e Natália , talento e emoção"
3762,Meu Querido Mentiroso||reportagem,,,1988,O Globo,40 Anos de amor e amizade
3763,Meu Querido Mentiroso||divulgação,Hildegard Angel,,1988,O Globo,Por dentro da tv
3764,Meu Querido Mentiroso||propaganda,,,1989,O Globo,Meu Querido Mentiroso
3765,Meu Querido Mentiroso||divulgação,,,1989,O Globo,Rio Show
3766,Corações A Ponto de Explodir,,"Eli Mendes, Mauro Horta, Nildo Parente, Ana Luiza, Rogério Freitas e Leandro de Andrade.||Cenografia e Figurino: Marcelo Marques;
Trilha sonora: Cláudio Botelho;",1997,,Corações a ponto de explodir de Edwin Sanchez.
3767,Meu Querido Mentiroso||divulgação,,,1988,O Globo,Jogo Rápido
3768,Meu Querido Mentiroso||reportagem,Barbara Heliodora,,1998,O Globo,Do amor de Bernard Shaw pela atriz Beatrice Campbell .
3769,Meu Querido Mentiroso||divulgação,,,1988,O Globo,Meu Querido Mentiroso
3770,Meu Querido Mentiroso||entrevista,Roberta Oliveira,,1997,O Globo,Amizade Colorida em cenas abertas
3771,Meu Querido Mentiroso||divulgação,Carlos Barcellos,,1989,O Fluminense,Atrações de hoje
3772,Meu Querido Mentiroso||reportagem,Eliane Martins,,1989,O Dia,Amizade Comemorada no palco
3773,Meu Querido Mentiroso||divulgação,,,1989,O Dia,Caderno D
3774,Meu Querido Mentiroso||reportagem,Arthur Laranjeira,,1989,O Dia,"Ela , ele ...sai da frente"
3775,Meu Querido Mentiroso||divulgação,Jorge Mascarenhas,,1988,O Dia,Flashes
3776,Meu Querido Mentiroso||reportagem,Eduardo Graça,,1988,,Meio Século de Parceria
3777,Meu Querido Mentiroso||critica,Marli Berg,,1988,Revista Manchete,Mentiroso Sensível
3778,Meu Querido Mentiroso||reportagem,Pedro Aguiar,,1988,Jornal da semana inteira,Estranho Caso de Amor
3779,Meu Querido Mentiroso||reportagem,Rosalva Nunes,,1988,Jornal da semana inteira,Meu Querido Mentiroso
3780,Meu Querido Mentiroso||reportagem,Adélia Maria Lopes,,1988,Jornal do Estado do Paraná,Meu Querido Mentiroso
3781,Meu Querido Mentiroso||reportagem,Daniel Schenker Wajnberg,,1998,Jornal do Commercio,"Em cartaz , a festa das diferenças"
3782,Meu Querido Mentiroso||divulgação,Jean Kuriak,,1988,Jornal de Hoje,Double Dose
3783,Meu Querido Mentiroso||reportagem,,,1988,Jornal de Brasilia,O palhaço e a deusa estrela
3784,Meu Querido Mentiroso||reportagem,,,1988,Jornal de Brasilia,"Mistério , puro mistério"
3785,Meu Querido Mentiroso||divulgação,Macksen Luiz,,1988,Jornal do Brasil,Próximas estréias
3786,Grande Teatro Tupi||digitado,Manoel Carlos,"Editora Responsável Anna Vacchiano, Projeto Gráfico Marcos Antonio de Jesus, Editoração Eletrônica Katia M. E. Macedo e Alexandre Santos, Revisão Rachel Anders e fotos de miolo acervo Manoel Carlos e Sergio Britto.",2005,,Cadernos O Grande Teatro Tupi
3787,Papa Higihrte||datilografado,Oduvaldo Vianna,,1969,,Papa Highirte
