,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
1387,A mulher de todos nós||reportagem,Ibrahim Sued,,1966,Diário de Notícias,Lançamento A Mulher de todos nós
1388,A mulher de todos nós||reportagem,Van Jafa,,1966,Correio da Manhã,Lançamento A Mulher de todos nós
1389,A mulher de todos nós||reportagem,,,1966,Correio da Manhã,"A mulher de todos nós, Teatro dos Sete"
1390,A mulher de todos nós,,,1966,Cinelandia,"A mulher de todos nós, Teatro dos Sete"
1391,A mulher de todos nós,,,1966,,A mulher de todos nós
1392,Grande Teatro Tupi,,Curadoria Anna Vacchiano,2005,,Caixe de Leituras O Grande Teatro Tupi
1393,Teatro dos Doze||reportagem,Helio Tys,,,,Venceu o teatro infantil
1394,Teatro dos Doze||reportagem,,,,,V'arias noticias
1395,Teatro dos Doze||reportagem,,,,,V'arias noticias
1396,Teatro Universitário||reportagem,,,,,V'arias noticias
1397,Teatro do Estudante||reportagem,,,,,Variações em torno de Romeu e Julieta
1398,Personalidade||reportagem,,,1966,Jornal O Globo,Caderno ELA completa dois anos
1399,A mulher de todos nós||reportagem,João Antonio,,1965,Jornal do Brasil,Fernanda volta com eterno feminino
1400,A mulher de todos nós||reportagem,,,1966,Jornal do Brasil,A mulher segundo Fernanda
1401,A mulher de todos nós||reportagem,,,1966,Diário de Notícias,Fernanda a mulher de todos nós
1402,"Romeu e Julieta, amantes do Rio",,"Sergio Britto, Roberto Pacheco, Mario Dimitri, Paula Aguas, Marlene Figueiró, Léa Garcia, Soraya Bastos, Perola Cortez, Suêde Corrêa. Eraci de Oliveira, Casemiro Raposo, Bruno Lezário da Silva, Sebastião Medeiros, Sergio Mauro Menezes, Eli Mendes, Carlos Laerte e Roberto Malaguti.",1995,,Romeu e Julieta - os amantes do Rio
1403,Personalidade,,,1995,,Participação de Sergio Britto no Porgrama do Jô
1404,Sergio Britto||reportagem,Fernanda Godoy,,1995,Folha de São Paulo,Sergio Britto milita pelo filme mudo
1405,Memórias do Interior||escrito,Sergio Britto,,,,Prológo
1406,Teatro dos Doze||reportagem,Paschoal Carlos Magno,,,,"Um presente para a criançada, Simbita e o dragão no Ginástico"
1407,Teatro dos Doze||reportagem,Mattos Pacheco,,,,Um pouco da vida e da obra do intérprete de Hamlet
1408,Teatro Universitário||reportagem,,,,,Um grande trunfo do Teatro Universitário
1409,Teatro dos Doze||reportagem,Ana Maria Sussekind de Mendonça,,,,Tragédia em New York no Ginástico
1410,Teatro dos Doze||reportagem,Paschoal Carlos Magno,,,,Tragédia em New York no Ginástico
1411,Teatro dos Doze||propaganda,,,,,Tragédia em New York
1412,Teatro dos Doze||reportagem,Augusto de Almeida Filho,,,,Teatro Tragédia em New York III
1413,Teatro dos Doze||reportagem,Augusto de Almeida Filho,,,,Teatro Tragédia em New York
1414,Teatro dos Doze||reportagem,Barbara Heliodora,,,,Tragédia em New York
1415,Teatro dos Doze||reportagem,J. L.,,,,Tragédia em New York
1416,Teatro dos Doze||reportagem,Yolandino Maya,,,,Teatro Tragédia em New York
1417,Teatro dos Doze||reportagem,J. Rego Costa,,,,Teatro Winterset
1418,Teatro dos Doze||reportagem,,,,,Teatro uma realização bem sucedida
1419,Teatro dos Doze||reportagem,,,,,Teatro Tragédia em New York
1420,Teatro dos Doze||reportagem,,,,,Teatro Tragédia em Nova York
1421,Teatro dos Doze||reportagem,,,,,Teatro Simbita e o dragão
1422,Teatro dos Doze||reportagem,Mario Nunes,,,,Teatros
1423,Teatro dos Doze||reportagem,,,,,Teatro Sergio e Sonia
1424,Teatro dos Doze||reportagem,,,,,Teatro Sérgio Cardoso servidor de um só amo
1425,Teatro dos Doze||reportagem,,,,,Teatros e música
1426,Teatro dos Doze||reportagem,J. Rego Costa,,,,Teatro segundo Arlequim
1427,Teatro dos Doze||reportagem,Oswaldo de Oliveira,,,,Teatro Tragédia em New York premiere no Ginástico
1428,Teatro dos Doze||reportagem,,,,,Os paraenses e Sergio Cardoso
