,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
176,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1978,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",3||MCP0397,Moeda
177,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1978,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",3||MCP0396,Moeda
178,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1978,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",3||MCP0395,Moeda
179,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1970,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",3||MCP0394,Moeda
180,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1978,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",3||MCP0393,Moeda
181,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1970,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",3||MCP0392,Moeda
182,Chile,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1999,"Moeda de 50 pesos, em metal dourado escurecido, com bordo sextavado, contendo no verso inscriçõe e decorações em motivos fitomórficos. No anverso, inscrições e efígie de B. O. Higgins.",3||MCP0391,Moeda
183,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1990,"Moeda de metal com miolo prateado, rodeado de metal dourado com a inscrição ¨LIBERTE, EGALITE, FRATERNITE¨ no anverso e figura humana alada com tocha e a inscrição RF no verso",3||MCP0390,Moeda||10 francos
184,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1991,"Moeda de 50 Cruzeiros, em metal prateado, com bordo liso, contendo no verso inscrições e detalhe da Bandeira Nacional. No anverso, inscrições e figura da baiana.",3||MCP0389,Moeda
185,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1991,"Moeda de 50 Cruzeiros, em metal prateado, com bordo liso, contendo no verso inscrições e detalhe da Bandeira Nacional. No anverso, inscrições e figura da baiana.",3||MCP0388,Moeda
186,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: brasão de armas da república do Brasil, ao redor escrita ""REPUBLICA DOS ESTADOS UNIDOS DO BRASIL"" PORÉM ALGUMAS LETRAS ILEGÍVEIS, borda cerrilhada, verso: ""1 CRUZEIRO"" e abaixo uma data (1959).",3||MCP0387,Moeda
187,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1975,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1975 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0386,Moeda
188,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1974,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0385,Moeda
189,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1970,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1970 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0384,Moeda
190,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1976,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0382,Moeda
191,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1970,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL, desgastado. Reverso: com inscrições 1 CRUZEIRO 1970 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0381,Moeda
192,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1976,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0380,Moeda
193,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1975,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1975 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0379,Moeda
194,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1976,"Moeda circular, de metal. Anverso desgatado: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0378,Moeda
195,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1970,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1970 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0377,Moeda
196,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1974,"Moeda circular, de metal, oxidada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1974 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0200,Moeda
197,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1976,"Moeda circular, de metal. Anverso: Figura humana de perfil, bastante oxidado, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0199,Moeda
198,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1975,"Moeda circular, de metal. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1975 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0198,Moeda
199,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1976,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0197,Moeda
200,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na prata enferrujada, anverso: efígie de Tobias Barreto, com inscrição do nome nas laterais, 1839 e 1939 e ideograma; bordo cerrilhado; verso com inscrição ""Brasil 1.000 RÉIS 1939"" e elementos irregulares geométricos circundando a área central.",3||MCP0196,Moeda
201,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1983,moeda em metal prateado. Verso: inscrições e simbolos . Valor sobreposto a desenho geométrico. Anverso: desenho do plano piloto de brasília orlado por inscrição.,3||MCP0195,Moeda||50 cruzeiros
202,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1983,moeda em metal prateado. Verso: inscrições e simbolos . Valor sobreposto a desenho geométrico. Anverso: desenho do plano piloto de brasília orlado por inscrição.,3||MCP0194,Moeda||50 cruzeiros
203,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1984,moeda em metal prateado. Verso: inscrições e simbolos . Valor sobreposto a desenho geométrico. Anverso: desenho do plano piloto de brasília orlado por inscrição.,3||MCP0193,Moeda||50 cruzeiros
204,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1991,"Moeda de 50 Cruzeiros, em metal prateado, com bordo liso, contendo no verso inscrições e detalhe da Bandeira Nacional. No anverso, inscrições e figura da baiana.",3||MCP0192,Moeda
205,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1984,moeda em metal prateado. Verso: inscrições e simbolos . Valor sobreposto a desenho geométrico. Anverso: desenho do plano piloto de brasília orlado por inscrição.,3||MCP0191,Moeda||50 cruzeiros
206,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,Moeda de metal prateado com as efígies de D. Pedro I e Presidente Médici e símbolo do Sesquicentenário da Independência no anverso e no reverso mapa do Brasil com raios partindo do Distrito Federal para as outras regiões.,3||MCP0190,Moeda||1 cruzeiro
207,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1975,"Moeda circular, de metal. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Com riscos e resquício de pigmento de tonalidade vermelha. Reverso: com inscrições 1 CRUZEIRO 1975 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0189,Moeda
208,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1974,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",3||MCP0188,Moeda
209,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: brasão de armas da república do Brasil, ao redor escrita ""REPUBLICA DOS ESTADOS UNIDOS DO BRASIL"" PORÉM ALGUMAS LETRAS ILEGÍVEIS, borda cerrilhada, verso: ""2 CRUZEIROS"" e abaixo uma data (1964? Ou 1961?).",3||MCP0187,Moeda
210,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1927,"Peça circular, metálica, com predominância na cobre/bronze, com anverso no centro figura feminina ajoelhada segurando objeto não identificado ao redor várias estrelas; borda cerrilhada; verso: ao centro valor nominal de ""1.000 RÉIS"" em volta dele desenho de ramos, acima a inscriçaoBRASIL e abaixo o ano de 1927",3||MCP0186,Moeda
211,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na prata enferrujada, anverso: efígie de Tobias Barreto, com inscrição do nome nas laterais, 1839 e 1939 e ideograma; bordo cerrilhado; verso com inscrição ""Brasil 1.000 RÉIS 1939"" e elementos irregulares geométricos circundando a área central.",3||MCP0185,Moeda
212,Espanha,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1990,moeda metal dourado. Verso: ao centro valor ladeado por inscrição e simbolo abaixo sobreposto figura geométrica. Anverso: Figura geométrica com inscrição e data.,3||MCP0184,Moeda||5 ptas
213,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1989,"Moeda com miolo de metal prateado, circundado por metal dourado com a inscrição ¨LIBERTE, EGALITE, FRATERNITE¨ no anverso e figura humana alada com tocha com as iniciais RF no verso",3||MCP0183,Moeda||10 francos
214,Estados Unidos da América,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1980,"Moeda de 25 centavos de Dólar, em metal prateado, contendo no verso inscrições e efície de águia. No anverso, inscrições e efície de George Washington.",3||MCP0182,Moeda
215,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1938,"moeda metal avermelhado. Verso: Ao centro locomotiva sobre trilho , orlado na parte superior por inscrições e abaixo valor . Anverso: efígie figura masculina ladeada por inscrições.",3||MCP0181,Moeda||200 RS
