,Assunto/ palavras-chave,Autor,Data,Identifier,Tipo do recurso,Título
289,Oil paint,Jorge Mori,1946,,Óleo sobre tela,Retrato de meu pai
290,Oil paint,Sergio Fingermann,1987,,óleo sobre tela,Sem título
291,Oil paint,Regina Vater,1972,,óleo sobre tela,"Nós I, II e III (tríptico)"
292,Oil paint,João Quaglia,1958,,óleo sobre aglomerado,Figuras
293,Oil paint,Manoel Lopes Rodrigues,1895,,óleo sobre tela,Cozinha bretã
294,Oil paint,Francisco Aurélio de Figueiredo,1894,,óleo sobre tela,"Pico de Itacolomi, Ouro Preto, MG"
295,Oil paint,Yoshiya Takaoka,1938,,óleo sobre tela,"Morro do Pinto,Rio de Janeiro"
296,Oil paint,Autor desconhecido,1937,,óleo sobre tela,Morte de Cezar
297,Oil paint,Jean Geoffroy,1948,,óleo sobre tela,Uma cena da vida de Paris
298,Oil paint,Autor desconhecido,1937,,óleo sobre tela,Senador de Veneza
299,Oil paint,Autor desconhecido,1937,,óleo sobre tela,Endimion e Diana
300,Oil paint,Aldo Bonadei,1962,,óleo sobre tela,Pintura
301,Oil paint,Aldo Bonadei,1954,,óleo sobre tela,A um amigo
302,Oil paint,Tiziana Bonazzola,1948,,óleo sobre tela,Natureza morta
303,Oil paint,Renina Katz,1990,,óleo sobre tela,Composição abstrata
304,Oil paint,Marques Júnior,1929,,óleo sobre tela,Vaso com flores
305,Oil paint,Candido Portinari,1938,,óleo sobre tela,Abstrato
306,Oil paint,Henrique Sálvio,1930/1940,,óleo sobre tela,Interior de ateliê
307,Oil paint,Siron Franco,1975,,óleo sobre madeira,Rainha
308,Oil paint,Autor desconhecido,1937,,óleo sobre tela,Adoração do Menino Jesus
309,Oil paint,Daniel Senise,1991,,óleo sobre tela,São Sebastião
310,Oil paint,Artur Lucas,1906,,óleo sobre tela,Figura de mulher
311,Oil paint,Autor desconhecido,1937,,óleo sobre tela,Herodíade
312,Oil paint,José Julio De Souza Pinto,1870/1939,,óleo sobre madeira,Mulher com leque
