,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
161,"PA||Curuçá||-0,7289519033451914   -47,847995778646606||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
162,"PA||Curuçá||-0,7289626313129274   -47,848006507481166||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
163,"PA||Curuçá||-0,7289626313129528   -47,847995778645696||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
164,"PA||Curuçá||-0,7289733592806761   -47,84797432097299||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
165,"PA||Curuçá||-0,7289519033451914   -47,848006507482054||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
166,"PA||Curuçá||-0,6999004741853034   -47,88602950247716||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
167,"PA||Curuçá||-0,7309687608321425   -47,85332801016736||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
168,"PA||Curuçá||-0,7289519033451914   -47,848006507481166||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
169,"PA||Curuçá||-0,7364614744946948   -47,847834846104824||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
170,"PA||Curuçá||-0,7289733592806761   -47,84798504980934||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
171,"PA||Curuçá||-0,7289519033451914   -47,848006507481166||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
172,"PA||Curuçá||-0,7289733592806761   -47,84796359213842||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
173,"PA||Curuçá||-0,7289626313129528   -47,84798504980934||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
174,"PA||Curuçá||-0,7846833422069673   -47,94785978468928||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
175,"PA||Curuçá||-0,7337151185063611   -47,852040549841234||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
176,"PA||Curuçá||-0,7289626313129528   -47,847995778646606||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
