,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
0,"ES||Vitória||-20,269182000000008   -40,302948||Local",Saberes||Reconhecimento,Associação de detentores,Ofício das Paneleiras de Goiabeiras||Registro do Ofício das Paneleiras de Goiabeiras como Patrimônio Cultural do Brasil
1,"AP||Pedra Branca do Amapari||1,168229682440268   -52,836003430156126||Local",Formas de expressão||Reconhecimento,Associação de detentores,Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Registro da Arte Kusiwá - Pintura Corporal e Arte Gráfica Wajãpi como Patrimônio Cultural do Brasil
2,"RJ||Rio de Janeiro||-22,952019656067456   -43,191305861489866||Local",Formas de expressão||Reconhecimento,Instituição pública federal,Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Registro da Arte Kusiwá - Pintura Corporal e Arte Gráfica Wajãpi como Patrimônio Cultural do Brasil
3,"AP||Macapá||0,043015696725105856   -51,0668877305691||Local",Formas de expressão||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Publicação dos livros ""Kusiwarã"" e “Povos Indígenas no Amapá e Norte do Pará""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Oficina sobre legislação e direitos autorais||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - 3ª Reunião do Conselho Consultivo do Plano de Salvaguarda Wajãpi||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - “Exposição Transfronteiriça: Memória e Identidade dos Kali’na Tilewuyu”||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Publicação do livro ""Casa de Farinha""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Reedição Dossiê de Registro vol. 2||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Exposição ""Jane reko Mokasia""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - formação de documentarista indígena||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Biblioteca||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2007/2008 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Capacitação em pesquisa e registro||Edital PNPI 2005 - Artesãs do Maramará||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
4,"PA||Belém||-1,4506370286537937   -48,485489705076475||Local",Celebrações||Reconhecimento,Instituição religiosa,"Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará||Registro do Círio de Nazaré como Patrimônio Cultural do Brasil"
5,"PA||Belém||-1,4524603455003404   -48,48149321364275||Local",Celebrações||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará||Registro do Círio de Nazaré como Patrimônio Cultural do Brasil"
6,"BA||Cachoeira||-12,599321250738829   -38,96433217299062||Local",Formas de expressão||Reconhecimento,Associação de detentores,Samba de Roda do Recôncavo Baiano||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil
7,"BA||São Félix||-12,6086504620899   -38,97255223953788||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Associação de detentores,Nenhum registro encontrado||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil
8,"BA||Santo Amaro||-12,553240529543228   -38,70446977457248||Local",Formas de expressão||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,"Samba de Roda do Recôncavo Baiano||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Capacitação para elaboração de projetos e captação de recursos||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA )ʺ.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba"
9,"BA||Cachoeira||-12,602991127239337   -38,9639781213998||Local",Formas de expressão||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Samba de Roda do Recôncavo Baiano||Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Prêmio (doação de instrumentos e tecidos)||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas"
10,"MT||Cuiabá||-15,596933739012051   -56,09667128144637||Regional",Saberes||Reconhecimento,Instituição pública estadual,Viola de Cocho||Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil
11,"MS||Corumbá||-19,004398710106603   -57,653059907991235||Regional",Saberes||Reconhecimento,Instituição pública estadual,Viola de Cocho||Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil
12,"BA||Salvador||-12,971968479470364   -38,50855908669091||Nacional||Nacional",Saberes||Lugares||Reconhecimento||Apoio e fomento,Associação de detentores,Ofício das Baianas de Acarajé||Tabuleiro da Baiana||Registro do Ofício das Baianas de Acarajé como Patrimônio Cultural do Brasil||Salvaguarda do Ofício de Baiana do Acarajé - Publicação do Dossiê de Registro vol. 6
13,"BA||Salvador||-12,981576472121466   -38,51657889164568||Nacional||Nacional",Saberes||Lugares||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Identificação||Apoio e fomento,Fundação universitária,"Ofício das Baianas de Acarajé||Tabuleiro da Baiana||Registro do Ofício das Baianas de Acarajé como Patrimônio Cultural do Brasil||Salvaguarda do Ofício de Baiana do Acarajé - Publicação do Dossiê de Registro vol. 6||Salvaguarda do Ofício de Baiana do Acarajé - A arte e o ofício da baiana do Acarajé (Convênio 2007/2008 celebrado com a Associação de Baianas de Acarajé e Mingau - ABAM) - Divulgação do Memorial da Baiana||Ação - IPHAN - Ofício das Baianas de Acarajé - Instalação de Memorial, contendo setor de documentação, oficina, cozinha cênica do acarajé e loja;||INRC - Tabuleiro das Baianas de Acarajé de Salvador||Salvaguarda do Ofício de Baiana do Acarajé - A arte e o ofício da baiana do Acarajé (Convênio 2007/2008 celebrado com a Associação de Baianas de Acarajé e Mingau - ABAM) - Instalação do Memorial da Baiana"
14,"BA||Salvador||-12,94844615025164   -38,46686951196977||Nacional||Nacional",Saberes||Lugares||Identificação||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Ofício das Baianas de Acarajé||Tabuleiro da Baiana||INRC - Tabuleiro das Baianas de Acarajé de Salvador||Registro do Ofício das Baianas de Acarajé como Patrimônio Cultural do Brasil||Salvaguarda do Ofício de Baiana do Acarajé - Publicação do Dossiê de Registro vol. 6||Salvaguarda do Ofício de Baiana do Acarajé - A arte e o ofício da baiana do Acarajé (Convênio 2007/2008 celebrado com a Associação de Baianas de Acarajé e Mingau - ABAM) - Divulgação do Memorial da Baiana||Ação - IPHAN - Ofício das Baianas de Acarajé - Instalação de Memorial, contendo setor de documentação, oficina, cozinha cênica do acarajé e loja;||Salvaguarda do Ofício de Baiana do Acarajé - A arte e o ofício da baiana do Acarajé (Convênio 2007/2008 celebrado com a Associação de Baianas de Acarajé e Mingau - ABAM) - Instalação do Memorial da Baiana"
15,"RJ||Niterói||-22,90178574671065   -43,11411202179782||Regional",Formas de expressão||Reconhecimento,Fundação universitária,Jongo no Sudeste||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil
16,"RJ||Niterói||-22,903579520595613   -43,116322162026464||Regional",Formas de expressão||Reconhecimento,Fundação universitária,Jongo no Sudeste||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil
17,"AM||São Gabriel da Cachoeira||-0,1317298944188162   -67,08812888742433||Local",Lugares||Reconhecimento,Associação de detentores,Cachoeira de Iauaretê – Lugar sagrado dos povos indígenas dos rios Uaupés e Papuri||Registro da Cachoeira de Iauaretê - Lugar Sagrado dos Povos Indígenas dos rios Uaupés e Papuri como Patrimônio Cultural do Brasil
18,"PE||Olinda||-8,015260679850327   -34,847909847759546||Local",Lugares||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Cachoeira de Iauaretê – Lugar sagrado dos povos indígenas dos rios Uaupés e Papuri||Edital PNPI 2007 - Kene - Pinturas Tradicionais Kaxinawá||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial
19,"AM||São Gabriel da Cachoeira||-0,11979945748313506   -67,09119733453556||Local",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Registro da Cachoeira de Iauaretê - Lugar Sagrado dos Povos Indígenas dos rios Uaupés e Papuri como Patrimônio Cultural do Brasil
20,"PE||Caruaru||-8,28477438935492   -35,97139798456358||Local",Lugares||Reconhecimento,Instituição pública municipal,Feira de Caruaru||Registro da Feira de Caruaru como Patrimônio Cultural do Brasil
21,"PE||Caruaru||-8,284848707445857   -35,971365798056304||Local",Lugares||Reconhecimento,Instituição pública municipal,Feira de Caruaru||Registro da Feira de Caruaru como Patrimônio Cultural do Brasil
22,"PE||Recife||-8,054247857693827   -34,87248016340948||Estadual",Formas de expressão||Reconhecimento,Instituição pública municipal,Frevo||Registro do Frevo como Patrimônio Cultural do Brasil
23,"MA||São Luís||-2,5275136487790943   -44,30601218909886||Estadual",Formas de expressão||Reconhecimento||Apoio e fomento,Instituição pública municipal,"Tambor de Crioula do Maranhão||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura"
24,"MA||São Luís||-2,560314211918858   -44,30370280713704||Estadual",Formas de expressão||Apoio e fomento||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Tambor de Crioula do Maranhão||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil"
25,"MA||São Luís||-2,5406650571447114   -44,254470860669194||Estadual",Formas de expressão||Apoio e fomento||Reconhecimento,Instituição pública estadual,"Tambor de Crioula do Maranhão||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil"
26,"MA||São Luís||-2,533122038731967   -44,28036222428991||Estadual",Formas de expressão||Reconhecimento,Instituição pública estadual,Tambor de Crioula do Maranhão||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil
27,"MA||São Luís||-2,5370020764338155   -44,29598340959402||Estadual",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Tambor de Crioula do Maranhão||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil
28,"RJ||Rio de Janeiro||-22,908869210476063   -43,23271916867793||Estadual",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Matrizes do Samba no Rio de Janeiro: Partido Alto, Samba de Terreiro e Samba-Enredo||Registro das Matrizes do Samba no Rio de Janeiro: partido alto, samba de terreiro e samba-enredo como Patrimônio Cultural do Brasil"
29,"MG||Belo Horizonte||-19,78672754631599   -43,95034137931732||Local||Local||Local||Local",Saberes||Saberes||Saberes||Saberes||Reconhecimento||Reconhecimento||Reconhecimento,Instituição pública estadual,"Modo artesanal de fazer Queijo de Minas, nas regiões do Serro e das serras da Canastra e do Salitre/Alto Parnaíba||Modo de Fazer do Queijo Artesanal de Minas (Serro)||Modo de fazer do Queijo Artesanal tipo Alto Paranaíba||Modo de fazer do Queijo Artesanal tipo Canastra||Registro do Modo de fazer Queijo Artesanal de Minas nas regiões do Serro, da Serra da Canastra e Salitre/ AltoParanaíba como Patrimônio Cultural do Brasil||Registro do Toque dos Sinos em Minas Gerais - tendo como referência São João Del Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes como Patrimônio Cultural do Brasil||Registro do Ofício de Sineiro como Patrimônio Cultural do Brasil"
30,"MG||Belo Horizonte||-19,933547696328212   -43,95113531318535||Local||Local",Saberes||Saberes||Nenhum registro encontrado,Associação de detentores,"Modo artesanal de fazer Queijo de Minas, nas regiões do Serro e das serras da Canastra e do Salitre/Alto Parnaíba||Modo de Fazer do Queijo Artesanal de Minas (Serro)||Nenhum registro encontrado"
31,"MG||Belo Horizonte||-19,9237437446036   -43,94401136604223||Nenhum registro encontrado",Nenhum registro encontrado||Nenhum registro encontrado,Associação de detentores,Nenhum registro encontrado||Nenhum registro encontrado
32,"MG||São Roque de Minas||-20,247855818590647   -46,366623233447||Local||Local",Saberes||Saberes||Nenhum registro encontrado,Associação de detentores,"Modo artesanal de fazer Queijo de Minas, nas regiões do Serro e das serras da Canastra e do Salitre/Alto Parnaíba||Modo de fazer do Queijo Artesanal tipo Canastra||Nenhum registro encontrado"
33,"DF||Brasília||-15,824436533141716   -47,91897173485873||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública federal,Nenhum registro encontrado||Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil
34,"SE||Divina Pastora||-10,678443384624146   -37,14779120178213||Local",Saberes||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Modo de Fazer Renda Irlandesa, tendo como referência este ofício em Divina Pastora/SE||Registro do Modo de fazer Renda Irlandesa tendo como referência este Ofício em Divina Pastora/SE como Patrimônio Cultural do Brasil"
35,"MG||Belo Horizonte||-19,916642560335163   -43,94126478401097||Nenhum registro encontrado",Nenhum registro encontrado||Reconhecimento,Instituição pública estadual,"Nenhum registro encontrado||Registro do Toque dos Sinos em Minas Gerais - tendo como referência São João Del Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes como Patrimônio Cultural do Brasil"
36,"MG||Ouro Preto||-20,398478290108027   -43,50287851411759||Estadual||Regional||Local||Local||Local||Nacional||Local||Local||Local||Local||Local",Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Reconhecimento||Reconhecimento,Associação de detentores,"Toque dos Sinos (Ouro Preto)||Toque dos Sinos em Minas Gerais, tendo como referência São João dei-Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes||Toque de Chamada de Missa||Toque de Chamada para Missa de Quaresma||Toque de Aviso Fúnebre para Irmão||Toque de Aviso Fúnebre para Religioso||Repique de Glória, da Consagração Eucarística e da Benção do Santíssimo Sacramento||Toque de Alvorada||Chamada para Adoração ao Santíssimo Sacramento||Toque de Procissão (Ouro Preto)||Toque Te Deum||Registro do Toque dos Sinos em Minas Gerais - tendo como referência São João Del Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes como Patrimônio Cultural do Brasil||Registro do Ofício de Sineiro como Patrimônio Cultural do Brasil"
37,"GO||Pirenópolis||-15,851886283253478   -48,95835953909847||Local",Celebrações||Reconhecimento,Instituição pública municipal,"Festa do Divino Espírito Santo de Pirenópolis, no Estado de Goiás||Registro da Festa do Divino Espírito Santo de Pirenópolis como Patrimônio Cultural do Brasil"
38,"MT||Cuiabá||-15,596158704974636   -56,10538846074372||Local",Celebrações||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Ritual Yaokwa do Povo Indígena Enawene Nawe||Registro do Ritual Yaokwa do Povo Indígena Enawene Nawe como Patrimônio Cultural do Brasil
39,"AM||Santa Isabel do Rio Negro||-0,4151780615576422   -65,01470609721898||Local",Saberes||Reconhecimento,Associação de detentores,Sistema Agrícola Tradicional do Rio Negro||Registro do Sistema Agrícola Tradicional do Rio Negro como Patrimônio Cultural do Brasil
40,"RN||Caicó||-6,467212483946176   -37,0990299522743||Local",Celebrações||Reconhecimento,Instituição religiosa,Festa de Sant'Ana de Caicó no estado do Rio Grande do Norte||Registro da Festa de Sant'Ana de Caicó como Patrimônio Cultural do Brasil
41,"MT||São Félix do Araguaia||-11,618725850105932   -50,664048018994954||Regional||Regional",Formas de expressão||Saberes||Reconhecimento||Reconhecimento,Associação de detentores,Rtixòkò: expressão artística e cosmológica do Povo Karajá||Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá||Registro dos Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá como Patrimônio Cultural do Brasil||Registro do Ritxòkó: expressão artística e cosmológica do Povo Karajá como Patrimônio Cultural do Brasil
42,"PR||Paranaguá||-25,532096595966046   -48,50643764624479||Regional",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Fandango Caiçara||Registro do Fandango Caiçara como Patrimônio Cultural do Brasil
43,"PR||Guaraqueçaba||-25,29809896672078   -48,32210529677993||Regional",Formas de expressão||Reconhecimento,Associação de detentores,Fandango Caiçara||Registro do Fandango Caiçara como Patrimônio Cultural do Brasil
44,"SP||Iguape||-24,637532081249997   -47,37279113927575||Regional",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Fandango Caiçara||Registro do Fandango Caiçara como Patrimônio Cultural do Brasil
45,"SP||São Paulo||-23,558431804431784   -46,72163056500936||Regional",Formas de expressão||Reconhecimento,Fundação universitária,Fandango Caiçara||Registro do Fandango Caiçara como Patrimônio Cultural do Brasil
46,"SP||Cananéia||-25,00847250416903   -47,940154834493164||Regional",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Fandango Caiçara||Registro do Fandango Caiçara como Patrimônio Cultural do Brasil
47,"SP||Cananéia||-25,01549227854959   -47,9281868178674||Regional",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Fandango Caiçara||Registro do Fandango Caiçara como Patrimônio Cultural do Brasil
48,"SP||Cananéia||-25,017368687663627   -47,92783813069565||Regional",Formas de expressão||Nenhum registro encontrado,Associação de detentores,Fandango Caiçara||Nenhum registro encontrado
49,"RJ||Rio de Janeiro||-22,93435157149143   -43,23455379964393||Regional",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Fandango Caiçara||Registro do Fandango Caiçara como Patrimônio Cultural do Brasil
50,"RJ||Paraty||-23,223862583229288   -44,72914489202983||Regional",Formas de expressão||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Fandango Caiçara||Registro do Fandango Caiçara como Patrimônio Cultural do Brasil
51,"RJ||Paraty||-23,22051031412858   -44,71324475698849||Local",Celebrações||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Festa do Divino Espírito Santo de Paraty||Registro da Festa do Divino Espírito Santo de Paraty como Patrimônio Cultural do Brasil
52,"BA||Salvador||-12,923922954030948   -38,50824795044552||Local",Celebrações||Reconhecimento,Instituição religiosa,Festa do Senhor Bom Jesus do Bonfim||Registro da Festa do Nosso Senhor Bom Jesus do Bonfim como Patrimônio Cultural do Brasil
53,"PA||Cachoeira do Arari||-1,0125272248911241   -48,96074810178988||Local||Local",Celebrações||Celebrações||Reconhecimento,Instituição religiosa,Festividades do Glorioso São Sebastião na Região do Marajó||Festividade do Glorioso São Sebastião de Cachoeira do Arari||Registro da Festividade de São Sebastião na Região do Marajó como Patrimônio Cultural do Brasil
54,"PA||Cachoeira do Arari||-1,0078823609381338   -48,96040477903721||Local",Celebrações||Reconhecimento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Festividades do Glorioso São Sebastião na Região do Marajó||Registro da Festividade de São Sebastião na Região do Marajó como Patrimônio Cultural do Brasil
55,"PI||Teresina||-5,076097630435721   -42,81508658186161||Local",Saberes||Reconhecimento,Outra,Produção Tradicional e Práticas Socioculturais Associadas à Cajuína no Piauí||Registro da Produção Tradicional e Práticas Socioculturais Associadas à Cajuína no Piauí como Patrimônio Cultural do Brasil
56,"PA||Santarém Novo||-0,9281890327413882   -47,401371977003905||Estadual",Formas de expressão||Reconhecimento,Associação de detentores,Carimbó||Registro do Carimbó como Patrimônio Cultural do Brasil
57,"PA||Santarém Novo||-0,9272503826441214   -47,396871230277526||Estadual",Formas de expressão||Reconhecimento,Instituição pública municipal,Carimbó||Registro do Carimbó como Patrimônio Cultural do Brasil
58,"PA||Marapanim||-0,7084788467254035   -47,695332134066824||Estadual",Formas de expressão||Reconhecimento,Associação de detentores,Carimbó||Registro do Carimbó como Patrimônio Cultural do Brasil
59,"PA||Marapanim||-0,7048313199036507   -47,696544492542934||Estadual",Formas de expressão||Reconhecimento,Associação de detentores,Carimbó||Registro do Carimbó como Patrimônio Cultural do Brasil
60,"PA||Marapanim||-0,7086504949757937   -47,70143684178379||Estadual",Formas de expressão||Reconhecimento,Associação de detentores,Carimbó||Registro do Carimbó como Patrimônio Cultural do Brasil
61,"PA||Cachoeira do Arari||-1,0073674564422896   -48,934569741805134||Local||Local||Local||Local||Estadual",Celebrações||Lugares||Formas de expressão||Celebrações||Lugares||Reconhecimento,Instituição religiosa,Festividades do Glorioso São Sebastião na Região do Marajó||Capela de Santana||Grupo Parafolclórico Tribo dos Anajás||Festival do Tucumã||Museu do Marajó||Registro da Festividade de São Sebastião na Região do Marajó como Patrimônio Cultural do Brasil
62,"MT||Cuiabá||-15,602715400580616   -56,09358137665973||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,Nenhum registro encontrado||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Divulgar e fomentar o modo de fazer viola de cocho||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Educação Patrimonial e Ambiental||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Plano de manejo para árvores matéria-prima da viola de cocho||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Elaboração de site||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Assessoria de Comunicação||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Adequação de Espaço||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Produção de livreto com partituras
63,"MT||Cuiabá||-15,599145153378636   -56,09705751954537||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,Associação de detentores,Nenhum registro encontrado||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Adequação de Espaço||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Produção de livreto com partituras||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Divulgar e fomentar o modo de fazer viola de cocho||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Educação Patrimonial e Ambiental||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Plano de manejo para árvores matéria-prima da viola de cocho||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Elaboração de site||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Assessoria de Comunicação
