,Abrangência/ Cobertura,Assunto/ palavras-chave,Data,Tipo do recurso,Título
206,"Ceará||Barbalha||-46,60843733||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||2007,Identificação,Nenhum registro encontrado
207,"Pará||Nova Esperança do Piriá||-49,30292525||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||ago/10,Identificação,Nenhum registro encontrado
208,"Goiás||Niquelândia||-62,97133356||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||dez/09,Identificação,Nenhum registro encontrado
209,"Alagoas||Maceió||-45,4013498||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2006||2006,Identificação,Nenhum registro encontrado
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,"Pará||Belém||-49,89460548||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Não informado,2002||2003,Identificação,"Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará"
222,"Maranhão||São Luís||-46,81898413||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Não informado,2001||2004,Identificação,Complexo Cultural do Bumba-meu-boi do Maranhão
223,"Mato Grosso||Poconé||-74,37826641||Regional||MS||Ladário",Saberes||Não informado,2001||2004,Identificação,Viola de Cocho
224,"Minas Gerais||Patos de Minas||-65,11037933||Local||Local||Local||Local||Local||MG||Alvorada de Minas, Cruzeiro da Fortaleza, Guimarânia, Lagoa Formosa, Patos de Minas, Santo Antônio do Itambé, Serra Azul de Minas, Varjão de Minas",Saberes||Saberes||Saberes||Saberes||Saberes||Não informado,Não informado||2006,Identificação,"Modo artesanal de fazer Queijo de Minas, nas regiões do Serro e das serras da Canastra e do Salitre/Alto Parnaíba||Modo de fazer do Queijo Artesanal tipo Canastra||Modo de fazer do Queijo Artesanal tipo Alto Paranaíba||Modo de fazer do Queijo Artesanal tipo Serra do Salitre||Modo de Fazer do Queijo Artesanal de Minas (Serro)"
225,"Pernambuco||Recife||-42,94500411||Estadual||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Não informado,2006||2006,Identificação,Frevo
226,"Pará||Cachoeira do Arari||-49,97523834||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Não informado,2007||2007,Identificação,Festividades do Glorioso São Sebastião na Região do Marajó
227,"Rio de Janeiro||Resende||-67,20303611||Regional||RJ||MG||SP||ES||Japeri, Valença, Porciúncula, Bom Jardim, Bom Jesus do Itabapoana, Comendador Levy Gasparian, Cantagalo, Itaperuna, Mesquita, Macuco, Nova Iguaçu, Paraíba do Sul, Resende, Rio das Flores, Areal, São Fidélis, Sumidouro, Iguaba Grande, Laje do Muriaé, Miguel Pereira, São Sebastião do Alto, Sapucaia, Três Rios, Varre-Sai, Vassouras, Volta Redonda, Miracema, Paracambi, Mendes, São João de Meriti, Paty do Alferes, Barra do Piraí, Aperibé, Barra Mansa, Petrópolis, Tanguá, Teresópolis, Trajano de Morais, São Pedro da Aldeia, Rio Bonito, Rio Claro, Santa Maria Madalena, Santo Antônio de Pádua, Seropédica, Belford Roxo, Duas Barras, Cordeiro, Nova Friburgo, Conceição de Macabu, Itatiaia, Carmo, Cardoso Moreira, Silva Jardim, Cambuci, Natividade, Cachoeiras de Macacu, Engenheiro Paulo de Frontin, Italva, Itaocara, Nilópolis, Pinheiral, Piraí, São José de Ubá, São José do Vale do Rio Preto, Porto Real, Quatis, Queimados||Ervália, Esmeraldas, Espera Feliz, Espírito Santo do Dourado, Estiva, Estrela Dalva, Estrela do Indaiá, Imbé de Minas, Franciscópolis, Glaucilândia, Resplendor, Goianá, Gonçalves, Gonzaga, Riachinho, Rio Pomba, Ribeirão das Neves, Ribeirão Vermelho, Guaraciaba, Guimarânia, Guiricema, Iapu, Ilicínea, Ibertioga, Ibiaí, Ibiracatu, Rio Acima, Rodeiro, Rio Pardo de Minas, Rio Piracicaba, Rio Preto, Inconfidentes, Ibitiúra de Minas, Ibituruna, Icaraí de Minas, Inhapim, Inhaúma, Ipatinga, Rio Vermelho, Itabirinha, Itabirito, Itajubá, Itaguara, Itamarandiba, Itamarati de Minas, São Sebastião do Rio Verde, Itanhandu, Itanhomi, Itatiaiuçu, Ritápolis, Tiradentes, Iturama, Itutinga, Jaboticatubas, Japaraíba, Rubelita, Sacramento, Santo Antônio do Aventureiro, Salinas, Santa Cruz de Salinas, Santa Bárbara, Santa Cruz do Escalvado, Santa Efigênia de Minas, Santa Margarida, Tiros, Janaúba, Santa Maria de Itabira, Santana do Deserto, Santana do Garambéu, Santana do Jacaré, Santana do Manhuaçu, Jequitinhonha, Jesuânia, Santa Rita de Ibitipoca, Joanésia, Nova União, Santo Hipólito, Juatuba, Juruaia, Lamim, Juiz de Fora, Juramento, São Francisco, São Francisco de Sales, Laranjal, Ladainha, Lagoa dos Patos, Lagoa Dourada, Lagoa Formosa, Lambari, Luisburgo, Leme do Prado, Luminárias, Lima Duarte, Machado, Nova Era, Madre de Deus de Minas, Malacacheta, Mamonas, Manhumirim, Maravilhas, Mar de Espanha, Maria da Fé, Nova Porteirinha, Marilac, Mário Campos, Maripá de Minas, São Francisco do Glória, São Gonçalo do Sapucaí, São Gotardo, São João Batista do Glória, Tocantins, São João da Lagoa, São João da Ponte, São João das Missões, Marmelópolis, Martinho Campos, Martins Soares, Moeda, Moema, Monsenhor Paulo, Monte Alegre de Minas, Monte Sião, Romaria, Monte Carmelo, São João Del Rei, São João do Manhuaçu, Monte Formoso, Monte Santo de Minas, São João do Manteninha, Morada Nova de Minas, Morro da Garça, Morro do Pilar, Muriaé, Mutum, Paulistas, Muzambinho, São João do Pacuí, São João Evangelista, São João Nepomuceno, São Joaquim de Bicas, Nacip Raydan, Natalândia, São José da Barra, São José da Lapa, Natércia, Rosário da Limeira, São Miguel do Anta, São Pedro da União, São Pedro do Suaçuí, São Romão, Nova Ponte, Papagaios, Pará de Minas, Paiva, São Roque de Minas, Palma, Paraguaçu, Paraisópolis, Paraopeba, Passabém, Passa Quatro, Passa Tempo, Passa-Vinte, Patos de Minas, Pequeri, Patrocínio do Muriaé, São Sebastião do Maranhão, Paula Cândido, Tocos do Moji, Pavão, Peçanha, Santana de Cataguases, Pedra Bonita, Pedra do Anta, Santana de Pirapama, São Tiago, Periquito, Pescador, Piedade dos Gerais, Rio Doce, Piracema, Alto Jequitibá, São Tomás de Aquino, São Thomé das Letras, Piranguinho, Pirapetinga, Pirapora, Piraúba, Pitangui, São João do Oriente, Poço Fundo, Setubinha, Poços de Caldas, Pocrane, Pompéu, Ponto dos Volantes, Porteirinha, Porto Firme, Senhora de Oliveira, Pouso Alegre, Pouso Alto, Toledo, Presidente Bernardes, Rio do Prado, Presidente Kubitschek, São Vicente de Minas, Presidente Olegário, Raposos, Rio Manso, Sapucaí-Mirim, Rio Paranaíba, Ressaquinha, Riacho dos Machados, Rio Casca, Sardoá, Sarzedo, Sem-Peixe, Senador Amaral, Senhora do Porto, Rochedo de Minas, Rubim, Sabará, Santa Bárbara do Monte Verde, Sabinópolis, Santa Bárbara do Tugúrio, Santana dos Montes, Santa Rita de Caldas, Santa Rita de Jacutinga, Santa Rita de Minas, Santo Antônio do Grama, Santa Rita do Itueto, Santa Rita do Sapucaí, Santa Rosa da Serra, Santo Antônio do Amparo, Santo Antônio do Itambé, Santo Antônio do Monte, Santo Antônio do Retiro, Santo Antônio do Rio Abaixo, Serra do Salitre, Serrania, Serranópolis de Minas, Serranos, Serro, Sete Lagoas, Silveirânia, Silvianópolis, Simão Pereira, Simonésia, Tabuleiro, São Domingos das Dores, Santos Dumont, São Bento Abade, São Brás do Suaçuí, São Domingos do Prata, São Félix de Minas, São Francisco de Paula, São Gonçalo do Rio Abaixo, Taiobeiras, Tapira, Tarumirim, Teixeiras, São Geraldo da Piedade, São Geraldo, São José da Safira, São José da Varginha, São José do Alegre, São José do Divino, São José do Goiabal, São José do Jacuri, São José do Mantimento, São Lourenço, Taquaraçu de Minas, São Sebastião do Paraíso, São Sebastião do Rio Preto, Senador Cortes, Senador Firmino, Senador José Bento, Senador Modestino Gonçalves, Senhora dos Remédios, Sericita, Seritinga, Serra Azul de Minas, Tombos, Serra da Saudade, Teófilo Otoni, Três Corações, Sobrália, Soledade de Minas, Taparuba, Ubaporanga, Uberaba, Uberlândia, Tapiraí, Timóteo, Ubaí, Tumiritinga, União de Minas, Três Marias, Três Pontas, Turmalina, Turvolândia, Vargem Grande do Rio Pardo, Varjão de Minas, Virgolândia, Vargem Alegre, Vargem Bonita, Várzea da Palma, Veredinha, Mathias Lobato, Virgínia, Virginópolis, Ubá, Uruana de Minas, Urucânia, Varginha, Urucuia, Varzelândia, Verdelândia, Vermelho Novo, Vazante, Veríssimo, Campo do Meio, Vespasiano, Viçosa, Vieiras, Virgem da Lapa, Visconde do Rio Branco, Volta Grande, Wenceslau Braz, Canaã, Diogo de Vasconcelos, Divinolândia de Minas, Mesquita, Orizânia, Minduri, Padre Paraíso, Novo Oriente de Minas, Novorizonte, Olaria, Olímpio Noronha, Datas, Descoberto, Campo Belo, Divino, Caparaó, Capela Nova, Divino das Laranjeiras, Capetinga, Desterro de Entre Rios, João Monlevade, João Pinheiro, Bueno Brandão, Cachoeira de Minas, Caetanópolis, Ewbank da Câmara, Cabo Verde, Cachoeira da Prata, Caiana, Cajuri, Caldas, Fernandes Tourinho, Fortaleza de Minas, Fortuna de Minas, Fervedouro, Florestal, Faria Lemos, Formiga, Carmésia, Astolfo Dutra, Barra Longa, Carvalhópolis, Carrancas, Cássia, Conceição da Barra de Minas, Catas Altas, Catuti, Santana do Paraíso, Santana do Riacho, Santa Bárbara do Leste, Santa Luzia, Camacho, Pedras de Maria da Cruz, Pedro Leopoldo, Pedro Teixeira, Pequi, Perdigão, Perdões, Piau, Piedade de Caratinga, Piedade de Ponte Nova, Piedade do Rio Grande, Pimenta, Pingo-D'água, Pintópolis, Pirajuba, Piranga, Piumhi, Planura, Ponte Nova, Ponto Chique, Poté, Prados, Prata, Pratápolis, Pratinha, Presidente Juscelino, Prudente de Morais, Quartel Geral, Queluzito, Rio Espera, Raul Soares, Recreio, Reduto, Cipotânea, Claraval, Igaratinga, Rio Novo, Cláudio, Coimbra, Conceição dos Ouros, Conquista, Córrego Novo, Coqueiral, Cordisburgo, Cordislândia, Cristália, Cristiano Otoni, Resende Costa, Cristina, Crucilândia, São Geraldo do Baixio, Cruzília, Divisa Alegre, Divisa Nova, Guarani, São Gonçalo do Pará, Dores de Guanhães, Dores do Indaiá, Dores do Turvo, Doresópolis, Engenheiro Caldas, Guarará, Entre Rios de Minas, Lavras, Leandro Ferreira, Luz, Leopoldina, Liberdade, Machacalis, Lontra, Manhuaçu, Mantena, Mariana, Marliéria, Aguanil, São Sebastião do Anta, São Sebastião da Vargem Alegre, Iraí de Minas, Monjolos, Monte Azul, Monte Belo, Munhoz, Montes Claros, Catas Altas da Noruega, Água Boa, Albertina, Alfredo Vasconcelos, Alpinópolis, Alterosa, Alto Rio Doce, Alvarenga, Bicas, Águas Formosas, Água Comprida, Biquinhas, Abaeté, Abre Campo, Acaiaca, Caxambu, Cedro do Abaeté, Central de Minas, Chácara, Nova Belém, Santa Cruz de Minas, Santa Fé de Minas, Santa Helena de Minas, Santa Juliana, Santa Maria do Suaçuí, Santana da Vargem, Naque, Nazareno, São Pedro dos Ferros, São Sebastião da Bela Vista, São Sebastião do Oeste, Nepomuceno, Ninheira, Nova Lima, Nova Módica, Nova Resende, Nova Serrana, Novo Cruzeiro, Pai Pedro, Passos, Patis, Patrocínio, Pedra do Indaiá, Pedra Dourada, Pedralva, Perdizes, Pedrinópolis, Bugre, Caeté, Eugenópolis, São Gonçalo do Rio Preto, Felisburgo, Felixlândia, Arantina, Arceburgo, Arcos, Medeiros, Mirabela, Areado, Paineiras, Dionísio, Argirita, Aricanduva, Bom Repouso, Divinésia, Ataléia, Bandeira do Sul, Miradouro, Miraí, Miravânia, Pains, Barão de Monte Alto, Barbacena, Belo Vale, Berilo, Bom Despacho, Bom Jardim de Minas, Botumirim, Brás Pires, Coronel Fabriciano, Brasilândia de Minas, Braúnas, Córrego do Bom Jesus, Brumadinho, Cambuquira, Fama, Delfim Moreira, Delta, Campanário, Campina Verde, Delfinópolis, Campo Azul, Córrego Fundo, Capitólio, Caputira, Caraí, Divinópolis, Capitão Andrade, Desterro do Melo, Diamantina, Capitão Enéas, Cuparaque, Curral de Dentro, Mateus Leme, Matias Barbosa, Carandaí, Carangola, Piranguçu, Campo Florido, Campos Altos, Campos Gerais, Carmo da Cachoeira, Mercês, Cana Verde, Candeias, Cantagalo, Capelinha, Capim Branco, Materlândia, Matipó, Carbonita, Mato Verde, Matozinhos, Matutina, Medina, Mendes Pimentel, Minas Novas, Olhos-D'água, Oliveira, Oliveira Fortes, Onça de Pitangui, Oratórios, Ouro Branco, Ouro Fino, Ouro Preto, Ouro Verde de Minas, Padre Carvalho, Careaçu, Carmo de Minas, Extrema, Buenópolis, Buritizeiro, Camanducaia, Cambuí, Estrela do Sul, Felício dos Santos, Ferros, Alvinópolis, São João da Mata, Caranaíba, Cachoeira de Pajeú, Andrelândia, Curvelo, Antônio Carlos, Antônio Dias, Antônio Prado de Minas, Araponga, Barroso, Bela Vista de Minas, Açucena, Além Paraíba, Aimorés, Aiuruoca, Alagoa, Alfenas, Almenara, Alpercata, Alto Caparaó, Alvorada de Minas, Amparo do Serra, Andradas, Angelândia, Araçaí, Aracitaba, Arapuá, Araújos, Araçuaí, Araxá, Arinos, Augusto de Lima, Baependi, Baldim, Bambuí, Barão de Cocais, Belmiro Braga, Belo Horizonte, Belo Oriente, Berizal, Betim, Bias Fortes, Boa Esperança, Bocaina de Minas, Bocaiúva, Bom Jesus da Penha, Bom Jesus do Amparo, Bom Jesus do Galho, Bom Sucesso, Bonfim, Bonfinópolis de Minas, Borda da Mata, Botelhos, Brasília de Minas, Brasópolis, Campanha, Campestre, Caratinga, Carmo da Mata, Carmo do Cajuru, Carmo do Paranaíba, Carmo do Rio Claro, Carmópolis de Minas, Carvalhos, Casa Grande, Cataguases, Catuji, Chalé, Chapada do Norte, Coluna, Comendador Gomes, Chiador, Claro dos Poções, Comercinho, Conceição da Aparecida, Conceição das Pedras, Conceição do Rio Verde, Conceição das Alagoas, Conceição de Ipanema, Conceição do Mato Dentro, Conceição do Pará, Congonhal, Cônego Marinho, Confins, Congonhas, Congonhas do Norte, Conselheiro Lafaiete, Contagem, Conselheiro Pena, Consolação, Coração de Jesus, Corinto, Coroaci, Coronel Murta, Coronel Pacheco, Coronel Xavier Chaves, Córrego Danta, Couto de Magalhães de Minas, Crisólita, Cristais, Cruzeiro da Fortaleza, Dom Bosco, Dom Cavati, São Gonçalo do Abaeté, Dom Joaquim, Dom Silvério, Dom Viçoso, Dona Eusébia, Dores de Campos, Durandé, Elói Mendes, Engenheiro Navarro, Entre Folhas, Francisco Badaró, Francisco Dumont, Francisco Sá, Frei Gaspar, Frei Inocêncio, Frei Lagonegro, Goiabeira, Fronteira, Fronteira dos Vales, Fruta de Leite, Frutal, Funilândia, Galiléia, Gouveia, Guaraciama, Guaranésia, Governador Valadares, Grão Mogol, Guanhães, Guapé, Guaxupé, Guidoval, Gurinhatã, Heliodora, Ibiá, Igarapé, Ibiraci, Ibirité, Iguatama, Ijaci, Indaiabira, Indianópolis, Ingaí, Ipanema, Inimutaba, Ipaba, Ipuiúna, Itabira, Itacambira, Itaipé, Itacarambi, Itambacuri, Itambé do Mato Dentro, Itamogi, Itamonte, Itaobim, Itapagipe, Itapecerica, Itapeva, Itaú de Minas, Itaúna, Itaverava, Itumirim, Itinga, Itueta, Jaguaraçu, Jacinto, Jacuí, Jacutinga, Jaíba, Jampruca, Japonvar, Jeceaba, Jenipapo de Minas, Jequeri, Jequitaí, Jequitibá, Joaíma, Joaquim Felício, José Gonçalves de Minas, José Raydan, Josenópolis, Lagamar, Lagoa da Prata, Lagoa Grande, Lagoa Santa, Lajinha, Lassance, Luislândia||Ribeirão Bonito, Vitória Brasil, Pinhalzinho, Quadra, Tremembé, Santa Rosa de Viterbo, Santo Anastácio, Santo André, Santo Antônio da Alegria, Santo Antônio de Posse, Santo Antônio do Aracanguá, Santo Expedito, São Bento do Sapucaí, São Bernardo do Campo, São João da Boa Vista, Adamantina, Agudos, Alambari, Alfredo Marcondes, Altair, Altinópolis, Alto Alegre, Alumínio, Álvares Florence, Américo de Campos, Amparo, Analândia, Andradina, Angatuba, Arealva, Anhembi, Anhumas, Aparecida, Aparecida D'oeste, Araçatuba, Araçoiaba da Serra, Aramina, Areias, Areiópolis, Ariranha, Artur Nogueira, Atibaia, Auriflama, Avaré, Bady Bassitt, Bernardino de Campos, Bananal, Barretos, Barrinha, Barueri, Bastos, Batatais, Birigui, Boa Esperança do Sul, Carapicuíba, Biritiba-Mirim, Bocaina, Bofete, Brodowski, Boituva, Borborema, Borebi, Brotas, Botucatu, Bragança Paulista, Braúna, Buri, Buritama, Cabreúva, Caçapava, Corumbataí, Cachoeira Paulista, Caconde, Cafelândia, Campinas, Campo Limpo Paulista, Campos do Jordão, Campos Novos Paulista, Capivari, Cardoso, Cerqueira César, Cerquilho, Cesário Lange, Charqueada, Colina, Colômbia, Conchal, Conchas, Coroados, Coronel Macedo, Cotia, Descalvado, Diadema, Divinolândia, Emilianópolis, Dracena, Duartina, Dumont, Echaporã, Eldorado, Elias Fausto, Embaúba, Espírito Santo do Pinhal, Estrela D'oeste, Estrela do Norte, Fernandópolis, Fernando Prestes, Fernão, Ferraz de Vasconcelos, Flora Rica, Floreal, Flórida Paulista, Franca, Francisco Morato, Franco da Rocha, Gabriel Monteiro, Gália, Garça, Gastão Vidigal, Guaimbê, Getulina, Glicério, Guaiçara, Guaíra, Guapiaçu, Guapiara, Guaraçaí, Guaraci, Guarantã, Guararapes, Guareí, Guarulhos, Guatapará, Guzolândia, Herculândia, Hortolândia, Iacri, Iaras, Ibaté, Ibirá, Igarapava, Igaratá, Indiaporã, Iperó, Ipeúna, Ipiguá, Ipuã, Iracemápolis, Irapuã, Irapuru, Itaberá, Itaí, Itaju, Itapetininga, Itapeva, Itapevi, Itapira, Itatinga, Itariri, Itatiba, Ituverava, Jacupiranga, Jaguariúna, Jales, Jambeiro, Jandira, Jardinópolis, Jarinu, Jaú, Jeriquara, Joanópolis, João Ramalho, Juquiá, Juquitiba, Limeira, Lagoinha, Lavínia, Lavrinhas, Leme, Lins, Lorena, Lourdes, Lucélia, Lucianópolis, Luís Antônio, Lutécia, Macatuba, Macaubal, Marabá Paulista, Marília, Mauá, Saltinho, Martinópolis, Matão, Mendonça, Meridiano, Mesópolis, Miguelópolis, Mirandópolis, Mirassol, Mococa, Mogi das Cruzes, Mogi Guaçu, Moji Mirim, Morro Agudo, Nazaré Paulista, Neves Paulista, Nhandeara, Natividade da Serra, Nova Granada, Novo Horizonte, Nuporanga, Ocauçu, Olímpia, Onda Verde, Orindiúva, Osasco, Oscar Bressane, Osvaldo Cruz, Ouroeste, Palmeira D'oeste, Paraíso, Paraguaçu Paulista, Paraibuna, Pariquera-Açu, Patrocínio Paulista, Paulínia, Paulistânia, Paulo de Faria, Pederneiras, Pedranópolis, Pedregulho, Pedro de Toledo, Penápolis, Pereira Barreto, Piacatu, Pilar do Sul, Pindamonhangaba, Piquete, Pirajuí, Pirangi, Pirassununga, Piratininga, Pitangueiras, Pompéia, Pontal, Pontes Gestal, Populina, Porto Feliz, Pratânia, Presidente Prudente, Presidente Venceslau, Promissão, Quatá, Queiroz, Queluz, Quintana, Regente Feijó, Reginópolis, Registro, Ribeirão Branco, Ribeirão Corrente, Ribeirão Pires, Ribeirão Preto, Rincão, Riolândia, Roseira, Santa Cruz das Palmeiras, Santa Cruz do Rio Pardo, São João de Iracema, São Joaquim da Barra, São José do Barreiro, São José do Rio Pardo, São José do Rio Preto, São José dos Campos, São Lourenço da Serra, São Luís do Paraitinga, São Miguel Arcanjo, São Paulo, São Pedro, São Simão, São Pedro do Turvo, São Roque, Sarapuí, Sebastianópolis do Sul, Silveiras, Socorro, Sud Mennucci, Sumaré, Suzano, Taguaí, Tambaú, Tanabi, Taquaritinga, Tapiraí, Tapiratiba, Taquarituba, Tatuí, Terra Roxa, Taubaté, Tejupá, Santa Salete, Santo Antônio do Jardim, Tupã, Turiúba, Turmalina, Santo Antônio do Pinhal, São Francisco, Vargem Grande do Sul, Vargem Grande Paulista, Várzea Paulista, Votorantim, Votuporanga, Zacarias, Araçariguama, Buritizal, Cunha, Embu, Monte Mor, Pradópolis, Sabino, Nipoã, Sagres, Álvares Machado, Álvaro de Carvalho, Alvinlândia, Santa Clara D'oeste, Adolfo, Serra Negra, Sertãozinho, Sete Barras, Américo Brasiliense, Aguaí, Balbinos, Águas da Prata, Capela do Alto, Águas de Lindóia, Águas de Santa Bárbara, Águas de São Pedro, Arapeí, Arandu, Catanduva, Vera Cruz, Vinhedo, Aspásia, Assis, Bento de Abreu, Avaí, Cândido Rodrigues, Bálsamo, Barra Bonita, Bilac, Estiva Gerbi, Brejo Alegre, Boracéia, Cosmópolis, Cajobi, Cajuru, Campina do Monte Alegre, Canas, Capão Bonito, Catiguá, Guariba, Cosmorama, Cordeirópolis, Cruzália, Igaraçu do Tietê, Dirce Reis, Dobrada, Dolcinópolis, Engenheiro Coelho, Elisiário, Espírito Santo do Turvo, General Salgado, Guará, Guarani D'oeste, Guararema, Guaratinguetá, Holambra, Iacanga, Ibitinga, Indaiatuba, Ibiúna, Indiana, Inúbia Paulista, Ipaussu, Itapecerica da Serra, Itaquaquecetuba, Itápolis, Mairinque, Mairiporã, Manduri, Sales Oliveira, Itapuí, Itirapuã, Jaborandi, Jaboticabal, Jacareí, Jaci, José Bonifácio, Júlio Mesquita, Jumirim, Nova Guataporanga, Lindóia, Santa Cruz da Esperança, Lençóis Paulista, Pereiras, Louveira, Lupércio, Luiziânia, Macedônia, Magda, Marapoama, Mariápolis, Rinópolis, Rio Claro, Rio das Pedras, Marinópolis, Mineiros do Tietê, Mira Estrela, Mombuca, Monções, Mongaguá, Nova Campina, Nova Canaã Paulista, Cássia dos Coqueiros, Nova Castilho, Nova Luzitânia, Óleo, Orlândia, Embu-Guaçu, Palmares Paulista, Salto, Paranapanema, Paranapuã, Parapuã, Parisi, Pindorama, Pedra Bela, Piedade, Piquerobi, Piracaia, Salto de Pirapora, Piracicaba, Piraju, Santa Fé do Sul, Pirapora do Bom Jesus, Nova Odessa, Santa Cruz da Conceição, Platina, Poá, Poloni, Sales, Pongaí, Santa Gertrudes, Santa Isabel, Porangaba, Porto Ferreira, Potim, Pracinha, Presidente Alves, Presidente Bernardes, Santa Lúcia, Rafard, Rancharia, Redenção da Serra, Rifaina, Restinga, Ribeirão do Sul, Salesópolis, Salmourão, Santa Ernestina, Santa Mercedes, Santana da Ponte Pensa, Santana de Parnaíba, Santa Rita D'oeste, São João do Pau D'alho, Sarutaiá, Severínia, Taiaçu, Taiúva, Três Fronteiras, Taquaral, Tarumã, Torre de Pedra, Trabiju, Tuiuti, Tupi Paulista, União Paulista, Valentim Gentil, Valinhos, Valparaíso, Viradouro, Vista Alegre do Alto, Santa Rita do Passa Quatro, Santópolis do Aguapeí, São Caetano do Sul, São Carlos, Apiaí, Americana, Araraquara, Araras, Arco-Íris, Cabrália Paulista, Avanhandava, Arujá, Casa Branca, Barbosa, Bariri, Icém, Bauru, Bebedouro, Bom Jesus dos Perdões, Borá, Clementina, Caiabu, Caieiras, Caiuá, Cajamar, Cajati, Cedral, Cravinhos, Cristais Paulista, Cruzeiro, Dois Córregos, Dourado, Gavião Peixoto, Itirapina, Itajobi, Monte Alegre do Sul, Monte Alto, Monte Aprazível, Monte Azul Paulista, Monte Castelo, Monteiro Lobato, Morungaba, Motuca, Murutinga do Sul, Nova Aliança, Itobi, Itu, Itupeva, Jundiaí, Junqueirópolis, Laranjal Paulista, Nova Independência, Novais, Rio Grande da Serra, Miracatu, Mirassolândia, Pardinho, Nova Europa, Pedreira, Oriente, Ouro Verde, Pacaembu, Palestina, Planalto, Pontalinda, Potirendaba, Ribeirão dos Índios, Ribeirão Grande, Rubiácea, Santa Adélia, Santa Albertina, Santa Bárbara D'oeste, Santa Branca, Santa Maria da Serra, São João das Duas Pontes, São José da Bela Vista, Serra Azul, São Manuel, São Sebastião da Grama, Serrana, Sorocaba, Suzanápolis, Tabapuã, Tabatinga, Taboão da Serra, Taquarivaí, Tarabai, Ubarana, Tietê, Torrinha, Ubirajara, Uchoa, Urânia, Uru, Vargem, Urupês||Rio Novo do Sul, Ibatiba, Vargem Alta, Venda Nova do Imigrante, Viana, Mantenópolis, Rio Bananal, Ponto Belo, Pinheiros, Ibiraçu, Ibitirama, Iconha, Muqui, Águia Branca, Vila Valério, Afonso Cláudio, Água Doce do Norte, Alegre, Alfredo Chaves, Alto Rio Novo, Atilio Vivacqua, Baixo Guandu, Itarana, Brejetuba, Cachoeiro de Itapemirim, Cariacica, Castelo, Colatina, Conceição do Castelo, Divino de São Lourenço, Ecoporanga, Marechal Floriano, Governador Lindenberg, Itaguaçu, Iúna, Jaguaré, Laranja da Terra, Vila Pavão, São José do Calçado, Marilândia, Guaçuí, Irupi, Apiacá, Barra de São Francisco, Boa Esperança, Bom Jesus do Norte, Jerônimo Monteiro, João Neiva, Domingos Martins, Dores do Rio Preto, Sooretama, São Roque do Canaã, São Gabriel da Palha, Santa Teresa, Mimoso do Sul, Mucurici, Muniz Freire, Nova Venécia, Pancas, São Domingos do Norte, Santa Leopoldina, Santa Maria de Jetibá",Formas de expressão||Não informado,Não informado||2005,Identificação,Jongo no Sudeste
228,"Pernambuco||Caruaru||-44,2608059||Local||PE||Caruaru",Lugares||Não informado,2004||2006,Identificação,Feira de Caruaru
229,"Bahia||Salvador||-51,48927977||Nacional||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,2003||2005,Identificação,Ofício das Baianas de Acarajé
230,"Pernambuco||Recife||-42,98211219||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/231/,2011||2014,Apoio e fomento,Nenhum registro encontrado
231,,,,,
232,"Rio de Janeiro||Rio de Janeiro||-66,12775862||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/233/,2010||2011,Apoio e fomento,Nenhum registro encontrado
233,,,,,
234,"Minas Gerais||Serro||-61,97369954||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/235/,2008||Não informado,Apoio e fomento,Nenhum registro encontrado
235,,,,,
236,"Sergipe||Divina Pastora||-47,82999408||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/237/,2009||Não informado,Apoio e fomento,Nenhum registro encontrado
237,,,,,
238,"Mato Grosso||São Félix do Araguaia||-62,3183025||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/239/,11/08/2014||12/08/2014,Apoio e fomento,Nenhum registro encontrado
239,"Bahia||Santo Amaro||-51,25798843||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/240/,Não informado||2006,Apoio e fomento,Nenhum registro encontrado
240,,,,,
