colecao,link_item,Criador,Data,Tipo,Título,Dimensões físicas,Data de criação,Meio,Nº de registro,Autor,Coleção,Material/Técnica
Oil paint,https://artsandculture.google.com/asset/ventania/DwE46qb5a7wVFw,Alfred Sisley,1897,óleo sobre tela,Ventania,,,,,,,
Oil paint,https://artsandculture.google.com/asset/casamento-da-virgem/-QELSc8hlRhiuw,Alvise Benfatto del Friso,1937,óleo sobre tela,Casamento da Virgem,,,,,,,
Oil paint,https://artsandculture.google.com/asset/natureza-morta/4AHyh4FVJd-uJw,Maria Leontina,1952,óleo sobre tela,Natureza morta,w73 x d100 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/autorretrato/uwHGVC_OMDjwCA,Artur Timóteo da Costa,1919,óleo sobre tela,Autorretrato,,,,,,,
Oil paint,https://artsandculture.google.com/asset/rabe/zwE__bUPq6dnEw,Alexandre Cabanel,1848/1880,óleo sobre tela,Árabe,,,,,,,
Oil paint,https://artsandculture.google.com/asset/a-copa/fQEgzx9MxYGNxQ,Pedro Alexandrino,1897,óleo sobre tela,A copa,w178.7 x h213.8 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/bom-tempo-ou-idlio-campestre/gQFLqYtjCSn2Ng,Belmiro de Almeida,1893,óleo sobre tela,Bom tempo ou Idílio campestre,,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-de-lusa-francisca-panasco/TwFTYLh1LZpFAA,August Müller,1843,óleo sobre tela,Retrato de Luísa Francisca Panasco,,,,,,,
Oil paint,https://artsandculture.google.com/asset/composio-n-16/1AHEPLCpC-JFfA,Roberto Burle Marx,1970,óleo sobre tela,Composição nº 16,,,,,,,
Oil paint,https://artsandculture.google.com/asset/interior-de-ateli/ygGhQ1zbTFScCg,Milton Dacosta,1944,óleo sobre tela,Interior de ateliê,w87 x d80 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/santa-maria-madalena-penitente/WwHFMWdldCEDYQ,Andrea Vaccaro,1620/1670,óleo sobre tela,Santa Maria Madalena Penitente,,,,,,,
Oil paint,https://artsandculture.google.com/asset/igreja-de-santa-teresa/oQEZPG6bBcfhqg,Eliseu Visconti,1981/1988,óleo sobre tela,Igreja de Santa Teresa,,,,,,,
Oil paint,https://artsandculture.google.com/asset/maternidade/jgHKpq3xeL-Nwg,HENRIQUE BERNARDELLI,1885,óleo sobre tela,Maternidade,w150 x d100 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/estudo-para-o-cartaz-da-pea-teatral-orfeu-da-conceio-de-vinicius-de-moraes/iwGPPECC545Uxg,Djanira,1956,óleo e guache sobre papel,"Estudo para o cartaz da peça teatral ""Orfeu da Conceição"", de Vinicius de Moraes",,,,,,,
Oil paint,https://artsandculture.google.com/asset/trabalhador-de-cal/RgGVQdAPrMRacg,Djanira,1974,óleo sobre tela,Trabalhador de cal,,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-de-maria-esposa-do-artista/ygHIeG5xSZ6EEA,Candido Portinari,1932,óleo sobre tela,"Retrato de Maria, esposa do artista",,,,,,,
Oil paint,https://artsandculture.google.com/asset/marinha/BAH-lptKs3ypFA,Mário Navarro Da Costa,1911,óleo sobre madeira,Marinha,,,,,,,
Oil paint,https://artsandculture.google.com/asset/estrada-de-ferro/8gGlO0dE9EC_yA,Roberto Burle Marx,1938,óleo sobre tela,Estrada de ferro,,,,,,,
Oil paint,https://artsandculture.google.com/asset/trecho-do-jardim-botnico-rio-de-janeiro-rj/5AHu8Kdkp2CTow,Alberto da Veiga Guignard,1938,óleo sobre tela,"Trecho do Jardim Botânico, Rio de Janeiro, RJ",,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-do-cardeal-luigi-alessandro-omodei/vAEylOM5FX_1zA,"Baciccia, Giovanni Battista Gaulli, Dito",1925,óleo sobre tela,Retrato do Cardeal Luigi Alessandro Omodei,w97 x h122 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-da-artista-senhora-escobar/BwErEHufGEHz8Q,Décio Vilares,1889,óleo sobre tela,Retrato da artista Senhora Escobar,,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-de-mulher/eQHb2-7XMwNZBA,François Biard,1929,óleo sobre tela,Retrato de mulher,w201 x h152 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-do-crtico-de-arte-lus-gonzaga-duque-estrada/HQE1NL8BTZyDeQ,Eliseu Visconti,1899,óleo sobre tela,Retrato do crítico de arte Luís Gonzaga Duque Estrada,,,,,,,
Oil paint,https://artsandculture.google.com/asset/natureza-morta/LAFpJ6bzfIJEnA,Estevão Silva,1891,óleo sobre tela,Natureza-morta,,,,,,,
Oil paint,https://artsandculture.google.com/asset/cristo-com-esfera/8QFZFsRAWdD-Hw,Autor desconhecido,1600/1816,óleo sobre tela,Cristo com Esfera,,,,,,,
Oil paint,https://artsandculture.google.com/asset/marte-e-venus/8QETIr7XAovBdA,Autor desconhecido,1600/1859,óleo sobre tela,Marte e Venus,,,,,,,
Oil paint,https://artsandculture.google.com/asset/havre-ancoradouro-da-barra/6AFfAjJVnZa1Mg,Eugène Boudin,1889,óleo sobre madeira,Havre. Ancoradouro da barra,w41 x h32.8,,,,,,
Oil paint,https://artsandculture.google.com/asset/d-afonso-consultando-o-ermito/pQFdeB9iKMlR6A,Autor desconhecido,1600/1821,óleo sobre tela,D. Afonso consultando o ermitão,,,,,,,
Oil paint,https://artsandculture.google.com/asset/ilha-da-boa-viagem-niteri-rj/3AFGEDqH0IQk5g,Gustavo Dall'ara,1910,óleo sobre tela,"Ilha da Boa Viagem, Niterói, RJ",,,,,,,
Oil paint,https://artsandculture.google.com/asset/so-joo-da-cruz/PgGB5-MBbzCrsQ,Candido Portinari,1944,óleo sobre madeira,São João da Cruz,w60 x h175 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/trabalhadores-de-cal/ugHL1E5ymtOOyg,Djanira,1974,óleo sobre tela,Trabalhadores de cal,,,,,,,
Oil paint,https://artsandculture.google.com/asset/brodsqui/yQG4rqI52vRmBA,Candido Portinari,1948,óleo sobre tela,Brodósqui,,,,,,,
Oil paint,https://artsandculture.google.com/asset/o-cozinheiro/cgE7sEKiIkhg8w,Joseph Bail,1880/1910,óleo sobre tela,O Cozinheiro,,,,,,,
Oil paint,https://artsandculture.google.com/asset/estudo-para-o-painel-industrializao-do-brasil/XQEX4bdfFLITMw,Candido Portinari,1960,óleo sobre madeira,"Estudo para o painel ""Industrialização do Brasil""",,,,,,,
Oil paint,https://artsandculture.google.com/asset/autorretrato/bQH1HXV0rR8y2w,Teodoro de Bonna,1941,óleo sobre tela,Autorretrato,,,,,,,
Oil paint,https://artsandculture.google.com/asset/pintura-206/0wFjM-9FkTV3zA,Ivan Serpa,1957,óleo sobre tela,Pintura 206,w100 x d100 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/vista-da-enseada-de-botafogo/1QFxMspVk6igoA,Nicolas Antoine Taunay,1816,óleo sobre tela,Vista da enseada de Botafogo,w46 x h32 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/a-caminho-da-escola/zQGnqUcXyuvy6A,Eliseu Visconti,,óleo sobre tela,A caminho da escola,w65 x d81 (cm),,,,,,
