Nome;Condição;Tipo;UF;Município;Coordenada(s)_geográfica(s);Contatos;Bens_vinculados_Condição;Bens_vinculados_Nome;Bens_vinculados_Categoria;Bens_vinculados_Abrangência;Ações_vinculados_Tipo;Ações_vinculados_Nome;Ações_vinculados_Instrumento;Ações_vinculados_Situação;Página
Associação Carolina Via Verde;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);TO;Babaçulândia;-7,203484804180321   -47,75887910149252;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2007 - Ilha de São José||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/346/
Fundação Apolônio Salles - FADURPE;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);PE;Recife;-8,063705890760446   -34,89474820379738;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - Mercado São José: Memória e história;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/347/
Guaimbê – Espaço e Movimento CriAtivo;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);GO;Pirenópolis;-15,853623336988782   -48,952113735273436;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento||Apoio e fomento;Edital PNPI 2007 - Na trilhas das guerreiras - Caminhos de Pirenópolis||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/348/
Universidade Federal do Rio Grande do Sul;Partícipe;Instituição pública federal;RS;Porto Alegre;-30,036619780694007   -51,2043232232623;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2007 - Salvaguarda do Patrimônio Cultural Indígena: Registro etnográfico multimídia da cultura musical em comunidades Mbyá-Guarani da Grande Porto Alegre/RS||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/349/
Fundação Regional Integrada;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);RS;Santo Ângelo;-28,307382415428226   -54,25820856599569;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - KANHGÁG VẼNH KÓGAN MRÉ VẼNH GRÉN - Pintura e dança Kaingang;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/350/
Associação Cultural Cachuera!;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);SP;São Paulo;-23,53924306193508   -46,67153494723985;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2007 - Projeto Bem-Te-Vi||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/351/
ACIMRN – Associação das Comunidades Indígenas do Rio Negro;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);AM;Santa Isabel do Rio Negro;-1,3183046106994931   -65,54458185253166;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - Um patrimônio invisível: Documentação e pesquisa sobre os sistemas agrícolas do Rio Negro/AM;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/352/
Instituto Socioambiental - ISA;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);AM;São Gabriel da Cachoeira;0,08679488919319565   -67,55912479043799;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - Um patrimônio invisível: Documentação e pesquisa sobre os sistemas agrícolas do Rio Negro/AM||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial||Edital PNPI 2011 - Difusão dos Bens Culturais Inventariados em quilombos do Vale do Ribeira||Edital PNPI 2009 - Identificação dos sítios e histórias ancestrais dos povos Kaiabi, Yudjá, Kisêdjê e Panará;Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/353/
Associação de Pais e Mestres EMEF Desembargador Amorim Lima;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);SP;São Paulo;-23,525629257815627   -46,7017553962115;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2007 - Yvy Rupa - A descoberta (que está por vir) do Brasil - Visões Guarani da História||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/354/
Associação Brasileira de Linguística (ABRALIN);Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);PR;Curitiba;-25,433116100156   -49,26936693052745;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2008 - Estudos preliminares para o Inventário Nacional da Diversidade Linguística||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/355/
Laboratório de Línguas Indígenas - LALI/UnB;Partícipe;Instituição pública federal;DF;Brasília;-15,813412088553578   -47,89369459710199;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial||Edital PNPI 2008 - Estudos preliminares para o Inventário Nacional da Diversidade Linguística;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/356/
"""Departamento de Linguística Faculdade de Ciências e Letras – Universidade Estadual Paulista 'Júlio de Mesquita Filho'""";Partícipe;Instituição pública estadual;SP;Araraquara;-21,806578311695425   -48,18670614614162;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2008 - Estudos preliminares para o Inventário Nacional da Diversidade Linguística||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/357/
"""Laboratório de Aquisição da Fala e da Escrita Departamento de Letras Clássicas e Vernáculas – Universidade Federal da Paraíba""";Partícipe;Instituição pública federal;PB;João Pessoa;-7,118873326464587   -34,84554053672464;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial||Edital PNPI 2008 - Estudos preliminares para o Inventário Nacional da Diversidade Linguística;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/358/
Fundação UNISELVA – Fundação de Apoio à Universidade Federal de Mato Grosso, Estado de Mato Grosso;Partícipe;Instituição pública federal;MT;Cuiabá;-15,604058748131699   -56,09117811738293;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Identificação;Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial||Mapeamento Documental do Inventário Documental do Patrimônio Imaterial de Mato-Grosso;Ação de salvaguarda||Mapeamento documental;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/359/
Centro de Trabalho Indigenista - CTI;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);DF;Brasília;-15,81473340199819   -47,906054216243135;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2009 - Corrida de Tora - Patrimônio Cultural Imaterial dos Povos Timbira do Maranhão de Tocantins||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/360/
Associação Gãbgir do Povo Indígena Paiter Suruí;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);RO;Cacoal;-11,438639230075843   -61,45431637963216;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2009 - Acervo Paiter Suruí;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/361/
Universidade Federal do Maranhão - UFMA;Partícipe;Instituição pública federal;MA;São Luís;-2,5303781376485177   -44,27898893327382;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2009 - Autos e folguedos de natal no Maranhão||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/362/
Instituto Amazônico de Planejamento, Gestão Urbana e Ambiental  - Iagua;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);PA;Belém;-1,4514950602942274   -48,481552222241824;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento;Edital PNPI 2009 - Projeto cartografia social dos afroreligiosos em Belém do Pará: História e geo-referenciamento da casas de religiões afro-brasileiras||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/363/
Conjunto de Carimbó Panteras do Atalaia;Partícipe;Grupos de detentores;PA;Salinópolis;-0,6308496226428875   -47,3400526782557;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/364/
Associação de Quadrilhas Juninas e Grupos Folclóricos de Salinópolis;Partícipe;Associação de detentores;PA;Salinópolis;-0,6250242145336218   -47,35312576499399;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/365/
Grupo de Carimbó;Partícipe;Grupos de detentores;PA;Salinópolis;-0,6319818782531748   -47,34056530997276;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/366/
Conjunto O Popular;Partícipe;Grupos de detentores;PA;Salinópolis;-0,625067127324191   -47,349349214701114;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/367/
Conjunto de Carimbó Originais do Sal;Partícipe;Grupos de detentores;PA;Salinópolis;-0,63149795187885   -47,345667631683284;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/368/
Conjunto Ritmos Regionais;Partícipe;Grupos de detentores;PA;Salinópolis;-0,7624290415147142   -47,36443395820081;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/369/
Conjunto Zunido do Caranã;Partícipe;Grupos de detentores;PA;Salinópolis;-0,6307316125983946   -47,34362001624589;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/370/
Conjunto As Andorinhas;Partícipe;Grupos de detentores;PA;Salinópolis;-0,623178964205694   -47,3635327359719;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/371/
Associação de Artesãos e Artistas Plásticos de Salinas - AAPAS;Partícipe;Associação de detentores;PA;Salinópolis;-0,6300450086499371   -47,34842653480039;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/372/
Grupo de Cultura Popular Carimaré;Partícipe;Grupos de detentores;PA;São João de Pirabas;-0,8361149957923482   -47,10467507112753;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/373/
Conjunto de Carimbó Cobra Verde;Partícipe;Grupos de detentores;PA;São João de Pirabas;-0,7810010910446282   -47,183065311798146;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/374/
Conjunto de Carimbó Raízes da Terra;Partícipe;Grupos de detentores;PA;São João de Pirabas;-0,7785551429646237   -47,17576970327779;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/375/
Conjunto Os Canarinhos de Pirabas;Partícipe;Grupos de detentores;PA;São João de Pirabas;-0,7694364644070755   -47,176778213867586;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/376/
Uirapuru Vigiense;Partícipe;Grupos de detentores;PA;Vigia;-0,8554959992377352   -48,13951747084319;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/377/
Conjunto de Carimbó Canarinhos;Partícipe;Grupos de detentores;PA;Vigia;-0,8616214768514618   -48,13912586832689;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/378/
Conjunto Beija Flor;Partícipe;Grupos de detentores;PA;Vigia;-0,8580813596374723   -48,14009682799035;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/379/
Conjunto Os Tapaioaras;Partícipe;Grupos de detentores;PA;Vigia;-0,8579848109402161   -48,14023630285761;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/380/
Associação Cultural Mestre Bené;Partícipe;Associação de detentores;PA;São Caetano de Odivelas;-0,7469778901668226   -48,019561986277985;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/381/
Conjunto de Carimbó Capim Gordura;Partícipe;Grupos de detentores;PA;São Caetano de Odivelas;-0,7469671622424694   -48,019561986277985;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/382/
Conjunto de Carimbó Itapuí;Partícipe;Grupos de detentores;PA;São Caetano de Odivelas;-0,7235265857575949   -48,02335999424447;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/383/
Sauatá - Grupo de Tradição Popular;Partícipe;Grupos de detentores;PA;São Caetano de Odivelas;-0,7469457063937759   -48,01951907093345;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/384/
Conjunto Azulão;Partícipe;Grupos de detentores;PA;São Caetano de Odivelas;-0,7477234808414811   -48,025229493927284;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/385/
Conjunto de Carimbó Frutos da Terra;Partícipe;Grupos de detentores;PA;Colares;-0,9321357792534027   -48,28358972115302;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/386/
Conjunto de Carimbó Raízes do Cacau;Partícipe;Grupos de detentores;PA;Colares;-0,9303925736796794   -48,288417697378435;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/387/
Conjunto de Carimbó Beira-Mar;Partícipe;Grupos de detentores;PA;Colares;-0,9303979373903505   -48,288439155052046;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/388/
Conjunto de Carimbó Tupinambá;Partícipe;Grupos de detentores;PA;Colares;-0,9362121950706717   -48,27846133751588;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/389/
Conjunto Pau-e-Corda;Partícipe;Grupos de detentores;PA;Colares;-0,9303818462578921   -48,28852498574111;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/390/
Conjunto de Carimbó Flor da Cidade;Partícipe;Grupos de detentores;PA;Marapanim;-0,7119976345854047   -47,696834171115604;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/391/
Conjunto da Carimbó Novos Canarinhos;Partícipe;Grupos de detentores;PA;Marapanim;-0,7152804037652405   -47,69856151372072;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/392/
Conjunto de Carimbó Nova Geração;Partícipe;Grupos de detentores;PA;Marapanim;-0,7150229317574418   -47,711328828632695;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/393/
Conjunto de Carimbó Kumatê;Partícipe;Grupos de detentores;PA;Marapanim;-0,7145079876984871   -47,69527848988863;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/394/
Conjunto de Carimbó Flor do Mangue de Porto Alegre;Partícipe;Grupos de detentores;PA;Marapanim;-0,7129631551755025   -47,69708093434556;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/395/
Conjunto de Carimbó Pica-pau;Partícipe;Grupos de detentores;PA;Marapanim;-0,6461915803105217   -47,71500881940015;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/396/
Conjunto de Carimbó Nativos de Marudá;Partícipe;Grupos de detentores;PA;Marapanim;-0,7124321188761368   -47,69804116517443;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/397/
Grupo da Melhor Idade;Partícipe;Grupos de detentores;PA;Marapanim;-0,7122765627766313   -47,6987975481152;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/398/
Conjunto de Carimbó Alegria da Água Doce;Partícipe;Grupos de detentores;PA;Marapanim;-0,7165248515993192   -47,69841131001711;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/399/
Conjunto de Carimbó Itamirim;Partícipe;Grupos de detentores;PA;Marapanim;-0,713006067197039   -47,698046529591714;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Microrregião do Salgado Paraense;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/400/
