Assuntos,Desc. física,Ent. princ.,Imprenta,Link,Título,Unidade de descrição,Material,Ent. sec.,Título analítico fonte,Série,ISBN,Forma do registro,Edição,Título não controlado
1. Impostos - Roma 2. Direito administrativo - França 3. Execuções (Direito civil) - França,204 p.,"Valroger, Raoul Léon Lucien de","Paris (França) : A. Rousseau, 1895.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=69037,De la ferme des impots et autres revenus publics : De la contrainte administrative. Thèse pour le doctorat,Livro - Francês,,I. Paris. Université. Faculté de Droit,,,,,,
"1. Descartes, René, 1596-1650 2. Ciência - Metodologia 3. Metafísica",222 p : il.,"Descartes, René, 1596-1650","Paris (França) : Louis-Michaud, s.d.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=60189,"Descartes : choix de textes avec etude du système philosophique et notices biographique et bibliographique. Pref. de Labescat, agrégé de philosophie / René Descartes.",Livro - Francês,,"I. Debricon, L. II. Labescat, pref",,(Les Grands Philosophes Français et Étrangers)),,,,
"1. Marx, Karl, 1818-1883 2. Engels, Friedrich, 1820-1895 3. Marxismo",224 p.,"Goldendach, David Borisovich, 1870-1942","Nova Iorque (EUA) : International Publishers, [1927].",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=91826,Karl Marx and Friedrich Engels / by D. Riazanov [pseud.].,Livro - Inglês,,,,,,,,
"1. Encadernação - Manuais, guias, etc.",190 p. : il. ; 21 cm.,"Parada, Felipe","Buenos Aires (Argentina) : Joaquin Torres, 1943.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=214132,"La encuadernacion al alcance de todos : manual para el aficionado (fácil, entretenido, práctico y de utilidad) / Felipe Parada.",Livro - Espanhol,,,,,,,2. ed. cor. y aum.,
"1. Callado, Antonio 2. Espaço urbano",153 f.,"De Benedictis, Barbara","Roma (Itália) : Universitá degli Studi di roma ""La Sapienza"", 1993-1994.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=10332,Spazio urbano e metafora silvestre in concerto carioca di Antonio Callado / Barbara De Benedictis.,Tese - Italiano,,"I. Finazzi-Agrò, Ettore (Orient.)",,,,,,
,,,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=175897,,[Sem material definido],,,,,,,,
1. Sobrenatural,24 p.,"Athayde, João Martins de, 1880-1959","[S.l.] : [s.n.], [19- ].",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=82461,História completa de Juvenal e o dragão / João Martins de Athayde.,Folheto de cordel - Português,,,,,,,,Historia de Juvenal e o dragão
,205 p.,"Villaça, Antonio Carlos, 1928-2005","Rio de Janeiro (BR) : Zahar, 1975.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=119858,O pensamento catolico no Brasil / Antonio Carlos Villaça.,Livro - Português,,,,(Panorama cultural brasileiro)),,,,
1. Em processamento,196 p.,"Teixeira, Maria de Lourdes","São Paulo (BR) : Melhoramentos, 1975.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=1978,O banco de 3 lugares : romance / Maria de Lourdes Teixeira.,Livro - Português,,,,(Série Escalada)),,,3. ed.,
1. Literatos ingleses 2. Literatos americanos 3. Literatura inglesa,xx + 760 + 46 p : il.,"Herrig, L.","Brunsvique (Baixa Saxônia, Alemanha) : G. Westermann, 1906.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=62129,British classical authors : with biographical notices / L. Herrig. Edited by Max Förster.,Livro - Inglês,,"I. Förster, Max (ed)",,,,,87. ed,
