Autor,Descrição,Desenho Livre,Document,Dossiê,Função Sérgio Britto,Link do Item,Local,Nome do material,Tipo de artigo,Título,Ano,Tipo de publicação,Elenco,Equipe Técnica,Veículo da publicação,Material de Divulgação,Número de páginas,Projeto Gráfico,Observação
Roberta Oliveira,"Matéria trazendo Sergio Britt e Paulo Autran, que estão estreando peças em que a temática do homessexualismo é retratada.",,,Corações A Ponto de Explodir,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sagrados-e-atualizados-2/,Rio de Janeiro - RJ | Teatro Delfim,Hemeroteca,,Sagrados e atualizados,1997,reportagem,,,,,,,
,Matéria sobre o retorno ao Teatro Delfim da peça Cafona sim e daí? como novo elenco.,,,Cafona Sim E Daí?,,https://www.funarte.gov.br/acervo-sergio-britto-digital/os-bregas-tambem-tem-seu-valor/,Rio de Janeiro - RJ | Teatro Delfim,Hemeroteca,,Os bregas também tem seu valor,,reportagem,,,,,,,
,Matéria sobre o lançamento do livro O teatro e eu destacando os principais pontos.,,,O Teatro e eu,,https://www.funarte.gov.br/acervo-sergio-britto-digital/vigor-e-coragem-em-cena/,,Hemeroteca,,Vigor e coragem em cena,2010,reportagem,,,Estado de São Paulo,,,,
,Matéria sobre o lançamento do livro Fábrica de ilusões.,,,Fábrica de iIusões,,https://www.funarte.gov.br/acervo-sergio-britto-digital/ator-acha-que-delirio-da-encenacao-nao-permite-que-diretores-valorizem-o-texto/,Rio de Janeiro,Hemeroteca,,Ator acha que delírio da encenação não permite que diretores valorizem o texto,1996,reportagem,,,Jornal O Globo,,,,
,Matéria sobre o lançamento do livro Fábrica de ilusões.,,,Fábrica de iIusões,,https://www.funarte.gov.br/acervo-sergio-britto-digital/fabrica-de-ilusao-6/,Rio de Janeiro,Hemeroteca,,Fábrica de ilusão,1996,reportagem,,,Jornal O Globo,,,,
,"Matéria com Fernanda Montenegro onde é publicada a carta que a atriz escreveu para o, então, presidente Fernando Collor que tinha acabado de extinguir a Lei Sarney e a Embrafilme.",,,Fernanda Montenegro,,https://www.funarte.gov.br/acervo-sergio-britto-digital/fernanda-e-o-presidente/,,Hemeroteca,,Fernanda e o presidente,1990,reportagem,,,Jornal do Brasil,,,,
Daniel Stycer,"Matéria sobre a reabertura do Teatro Delfim, que passou a ter a gestão de Sergio Britto, depois de oito anos fechados.",,,Teatro Delfim,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sergio-britto-sai-na-frente-e-reabre-o-delfim/,Rio de Janeiro,Hemeroteca,,Sergio Britto sai na frente e reabre o Delfim,,reportagem,,,Jornal O Globo,,,,
,"Fotos a primeira turma da CAL, curso de 6 meses ministrado por Sergio Britto e Glorinha Beutmuller.",,,CAL,Professor,https://www.funarte.gov.br/acervo-sergio-britto-digital/fotos-primeira-tura-cal/,,Fotografia,,Fotos primeira tura cal,1981,,,,,,,,
Anton Tchekov,"Numa propriedade rural na Russia do início do século, um grupo de aristocratas decadentes. A peça conta a história de uma família que não quer vender a casa onde sempre viveu e, que é cercada por um jardim.
Foi considerada uma das melhores peças do ano pela Fundacen.",Não,,Textos Espetáculo,Ator,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-jardim-das-cerejeiras-13/,,Manuscrito,digitado,O Jardim das cerejeiras,1989,,,"Elenco: Edwin Luisi, Nathália Thimberg, Sérgio Britto, Othon Bastos, José Lewgoy, Andre Valle, Clarisse Derzie, Camilo Vevilaqua, Ada Chaseliov, Emilia Rey, Virgínio Liberti, Renée de Vielmont e Nelson Dantas. Direção, tradução e cenários: Paulo Mamede. No Teatro dos 4, patrocínio da Shell. Figurinos de Mimina Roveda e iluminação de Maneco Quinderé.",,,,,"A versão utilizada no espetáculo foi traduzida por Paulo Mamede, mas também publicamos a versão traduzida por Millor Fernandes"
,Matérias sobre a carreira de Italo Rossi,,,Amigos,,https://www.funarte.gov.br/acervo-sergio-britto-digital/italo-rossi/,,Hemeroteca,,Italo Rossi,,reportagem,,,,,,,
